municipio;codigo_ibge;tipo_captacao;nome_sistema;latitude;longitude;fonte;observacao
Acorizal;5100102;subterraneo;Ponto 1;-15.155739;-56.414446;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2018
Cuiabá;5103403;subterraneo;P.T. 38 - JARDIM MOSSORÓ;-15.385534;-56.229190;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Cuiabá;5103403;subterraneo;PT 87 - ALTOS DO PARQUE II;-15.405205;-56.021823;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Cuiabá;5103403;subterraneo;P.T. 02;-15.312199;-56.102417;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Poconé;5106505;subterraneo;Ponto 5;-16.000000;-56.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2020
Poconé;5106505;subterraneo;PT 01;-16.253950;-56.630015;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2024
Poconé;5106505;subterraneo;PTP 16;-16.248039;-56.634533;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2024
Várzea Grande;5108402;subterraneo;Ponto 1;-15.633000;-56.113600;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2025
Acorizal;5100102;subterraneo;Ponto 1;-15.140639;-56.339425;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Poconé;5106505;subterraneo;PT 06;-16.272308;-56.648997;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Poconé;5106505;subterraneo;PT 21;-11.628161;-56.628077;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Poconé;5106505;subterraneo;PT 23;-16.272608;-56.619982;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Cuiabá;5103403;subterraneo;poço PT - 01;-15.591000;-56.121000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2021
Cuiabá;5103403;subterraneo;Poço PT - 04;-15.590000;-56.119000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2021
Cuiabá;5103403;subterraneo;Poço PT - 05;-15.589000;-56.589000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2021
Cuiabá;5103403;subterraneo;Ponto 1;-15.360840;-56.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2021
Cuiabá;5103403;subterraneo;POÇO TUBULAR;-15.331293;-56.032841;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2022
Cuiabá;5103403;subterraneo;Ponto 1;-15.000000;-56.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2021
Cuiabá;5103403;subterraneo;Ponto 1;-15.391202;-56.001991;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2022
Cuiabá;5103403;subterraneo;Ponto 1;-15.637813;-56.048050;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2024
Várzea Grande;5108402;subterraneo;Ponto 1;-15.662372;-56.113778;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2024
Várzea Grande;5108402;subterraneo;Ponto 2;-15.653178;-56.119528;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2024
Várzea Grande;5108402;subterraneo;Ponto 3;-15.652500;-56.120583;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2024
Várzea Grande;5108402;subterraneo;Ponto 4;-15.663750;-56.114444;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2024
Cuiabá;5103403;subterraneo;Ponto 1;-15.668690;-55.988850;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2025
Cuiabá;5103403;subterraneo;Ponto 1;-15.669731;-55.980133;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2025
Cuiabá;5103403;subterraneo;Ponto 1;-15.603890;-56.101110;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2023
Cuiabá;5103403;subterraneo;Ponto 1;-15.678100;-56.022920;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2025
Cuiabá;5103403;subterraneo;Ponto 2;-15.681340;-56.023810;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2025
Cuiabá;5103403;subterraneo;Ponto 3;-15.680340;-56.020640;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2025
Cuiabá;5103403;subterraneo;Ponto 4;-15.676590;-56.019560;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2025
Cuiabá;5103403;subterraneo;Ponto 1;-15.660000;-55.980000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2025
Cuiabá;5103403;subterraneo;Ponto 1;-15.595200;-56.089400;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2025
Cuiabá;5103403;subterraneo;PT 1;-15.674300;-55.949977;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Cuiabá;5103403;subterraneo;POÇO TAIAMA 25;-15.589711;-56.084431;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Cuiabá;5103403;subterraneo;PT 01;-15.586647;-56.077408;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2024
Cuiabá;5103403;subterraneo;Ponto 1;-15.581969;-56.088800;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2025
Cuiabá;5103403;subterraneo;Poço Tubular Profundo - RU;-15.608633;-56.066119;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Cuiabá;5103403;subterraneo;Poço Santa Rita;-15.602670;-56.088747;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Cuiabá;5103403;subterraneo;PT-01;-15.646300;-56.026020;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Cuiabá;5103403;subterraneo;PT 1;-15.621131;-56.083014;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Cuiabá;5103403;subterraneo;PT 3- ADM;-15.333019;-56.141322;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Cuiabá;5103403;subterraneo;PT 04 - LOG;-15.337425;-56.142414;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Cuiabá;5103403;subterraneo;PT 1;-15.584722;-56.121083;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Cuiabá;5103403;subterraneo;Ponto 1;-15.615900;-56.072510;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Cuiabá;5103403;subterraneo;Ponto 1;-15.642567;-56.020690;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2026
Nobres;5105903;subterraneo;Ponto 1;-14.590000;-55.981944;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.588056;-55.986667;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.597222;-55.008611;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.599722;-55.008889;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.586667;-55.996667;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.594444;-56.019444;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.575006;-55.991116;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.589147;-56.001766;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.578816;-55.998638;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.570245;-55.987991;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.574629;-55.986500;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;superficial;HILTON M DE SOUZA;-14.590105;-56.004471;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.556390;-55.978123;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.557877;-55.976376;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.588889;-55.995278;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.597500;-55.009722;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.589722;-56.026667;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.594197;-56.016944;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.585833;-56.043889;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.569380;-55.987057;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.592443;-56.005959;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.593575;-56.010063;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.591148;-55.994827;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
Nobres;5105903;subterraneo;Ponto 1;-14.000000;-55.986164;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2019
