codigo_inep;nome;municipio;codigo_ibge;dependencia;localizacao;situacao;latitude;longitude;fonte;observacao
;Faculdade de Enfermagem;;;;;em_atividade;-15.609038;-56.062963;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Laboratório de Psicologia;;;;;em_atividade;-15.614608;-56.071243;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;"Escola Estadual Liceu Cuiabano ""Maria de Arruda Müller""";;;;;em_atividade;-15.592511;-56.102230;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.650927;-56.034810;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Professora Diva Hugueney de Siqueira Bastos;Cuiabá;5103403;;;em_atividade;-15.541065;-56.041945;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EE Malik Didier Namer Zahafi;;;;;em_atividade;-15.634726;-55.945943;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Senador Gastão de Matos Müller;;;;;em_atividade;-15.628168;-55.953175;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Faculdade de Arquitetura, Engenharia e Tecnologia;;;;;em_atividade;-15.608256;-56.064493;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Colégio Salesiano Santo Antônio;Cuiabá;5103403;;;em_atividade;-15.622149;-56.055836;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Instituto Cuiabano de Educação;;;;;em_atividade;-15.614087;-56.081520;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EE Tancredo de Almeida Neves;;;;;em_atividade;-15.599524;-56.074522;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Doutor Orlando Nigro;;;;;em_atividade;-15.598781;-56.069843;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Creche Municipal Santa Clara;;;;;em_atividade;-15.600214;-56.074287;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;UNIC Beria Rio 2;;;;;em_atividade;-15.626153;-56.086918;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual José de Mesquita;Cuiabá;5103403;;;em_atividade;-15.612979;-56.114408;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual General José Machado Neves da Costa;;;;;em_atividade;-15.614913;-56.116658;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.236595;-56.485467;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Profº Francisval de Brito;;;;;em_atividade;-15.618940;-56.129012;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Padre Wanir Delfino César;;;;;em_atividade;-15.615610;-56.131858;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Aureolina Eustácia Ribeiro;;;;;em_atividade;-15.610841;-56.132052;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Alina do Nascimento Tocantins;;;;;em_atividade;-15.611228;-56.120741;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Colégio Ibero-Americano;;;;;em_atividade;-15.616153;-56.111193;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Colégio Isaac Newton;;;;;em_atividade;-15.591118;-56.087806;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
