id_snisb;nome;municipio;n_ok;n_atencao;n_nao;n_lacuna;n_lacunas_criticas;pae_01;pae_04_zas
35161;Barragem B1 - Fazenda Sol Nascente;Pontal do Araguaia;0;0;2;6;8;lacuna;lacuna
36477;Barragem B2;Araguaiana;0;0;2;6;8;lacuna;lacuna
36473;Barragem B3;Araguaiana;0;0;2;6;8;lacuna;lacuna
27753;Barragem B9;Santa Cruz do Xingu;0;0;2;6;8;lacuna;lacuna
31517;Barragem Bem-te-vi;Lucas do Rio Verde;0;0;2;6;8;lacuna;lacuna
35489;Barragem Bom Jesus do Kuluene;Gaúcha do Norte;0;0;2;6;8;lacuna;lacuna
34730;Barragem Bravin;Primavera do Leste;0;0;2;6;8;lacuna;lacuna
8035;Barragem Caititu;Sorriso;0;0;2;6;8;lacuna;lacuna
6156;Barragem Carnaíba;Mirassol d'Oeste;0;0;2;6;8;lacuna;lacuna
28719;Barragem Carnaíba;Mirassol d'Oeste;0;0;2;6;8;lacuna;lacuna
35021;Barragem Charrua;Campo Verde;0;0;2;6;8;lacuna;lacuna
36573;Barragem Comodoro;Comodoro;0;0;2;6;8;lacuna;lacuna
33359;Barragem Goiana II;Querência;0;0;2;6;8;lacuna;lacuna
36532;Barragem Gran Fish - Jusante;Nova Marilândia;0;0;2;6;8;lacuna;lacuna
36533;Barragem Gran Fish – Montante;Nova Marilândia;0;0;2;6;8;lacuna;lacuna
36066;Barragem I;Confresa;0;0;2;6;8;lacuna;lacuna
31635;Barragem I - Fazenda Batista;Brasnorte;0;0;2;6;8;lacuna;lacuna
35339;Barragem I - Fazenda Jerusalém VIII;Água Boa;0;0;2;6;8;lacuna;lacuna
34767;Barragem I - Fazenda Lagoa Vermelha;Canarana;0;0;2;6;8;lacuna;lacuna
34712;Barragem I - Fazenda Lucion;Vera;0;0;2;6;8;lacuna;lacuna
37352;Barragem I - Fazenda Mariana II;Alta Floresta;0;0;2;6;8;lacuna;lacuna
5873;Barragem I - Fazenda Militância I;Vera;0;0;2;6;8;lacuna;lacuna
30908;Barragem I - Fazenda Nandico;Vera;0;0;2;6;8;lacuna;lacuna
36689;Barragem I - Fazenda Pouso da Garça;Cuiabá;0;0;2;6;8;lacuna;lacuna
19988;Barragem I - Fazenda Santa Ernestina I;Sorriso;0;0;2;6;8;lacuna;lacuna
34774;Barragem I - Fazenda Santa Maria do Jurigue;Pedra Preta;0;0;2;6;8;lacuna;lacuna
34599;Barragem I - Fazenda Tapena – Gleba Santa Maria-M-4863;Tabaporã;0;0;2;6;8;lacuna;lacuna
32441;Barragem I - Fazenda Vedana;Vera;0;0;2;6;8;lacuna;lacuna
36649;Barragem I - Fazenda Água Cristalina;Alto Boa Vista;0;0;2;6;8;lacuna;lacuna
36555;Barragem I ? Fazenda Machado I;Denise;0;0;2;6;8;lacuna;lacuna
31648;Barragem I Fazenda Santana;Sorriso;0;0;2;6;8;lacuna;lacuna
33949;Barragem I Fazenda Talismã;Rondonópolis;0;0;2;6;8;lacuna;lacuna
34857;Barragem I Jangada Agropastoril;Jangada;0;0;2;6;8;lacuna;lacuna
31362;Barragem II;Querência;0;0;2;6;8;lacuna;lacuna
37353;Barragem II - Fazenda Mariana II;Alta Floresta;0;0;2;6;8;lacuna;lacuna
36690;Barragem II - Fazenda Pouso da Garça;Cuiabá;0;0;2;6;8;lacuna;lacuna
36534;Barragem II - Fazenda Santa Maria do Jurigue;Pedra Preta;0;0;2;6;8;lacuna;lacuna
35483;Barragem II - Tanque II;Serra Nova Dourada;0;0;2;6;8;lacuna;lacuna
31363;Barragem III;Querência;0;0;2;6;8;lacuna;lacuna
35484;Barragem III;Serra Nova Dourada;0;0;2;6;8;lacuna;lacuna
36691;Barragem III - Fazenda Pouso da Garça;Cuiabá;0;0;2;6;8;lacuna;lacuna
35126;Barragem III ? Fazenda Nossa Senhora Aparecida;Araguaiana;0;0;2;6;8;lacuna;lacuna
19995;Barragem IMA;Sorriso;0;0;2;6;8;lacuna;lacuna
35485;Barragem IV;São Félix do Araguaia;0;0;2;6;8;lacuna;lacuna
36278;Barragem Jusante Fazenda Santa Filipina;Santa Cruz do Xingu;0;0;2;6;8;lacuna;lacuna
36559;Barragem Lago Bétis;Querência;0;0;2;6;8;lacuna;lacuna
35568;Barragem Lagoa Dourada;Querência;0;0;2;6;8;lacuna;lacuna
36503;Barragem Montante Fazenda Passo Fundo;Canarana;0;0;2;6;8;lacuna;lacuna
34750;Barragem Mutuca;Nossa Senhora do Livramento;0;0;2;6;8;lacuna;lacuna
32740;Barragem Nogueira I e II;Santo Antônio do Leste;0;0;2;6;8;lacuna;lacuna
35273;Barragem Nossa Senhora Aparecida;Barra do Garças;0;0;2;6;8;lacuna;lacuna
34482;Barragem Paranoá;Mirassol d'Oeste;0;0;2;6;8;lacuna;lacuna
36679;Barragem Perin II;Tangará da Serra;0;0;2;6;8;lacuna;lacuna
36680;Barragem Perin II (a montante);Tangará da Serra;0;0;2;6;8;lacuna;lacuna
20151;Barragem Planalto;Primavera do Leste;0;0;2;6;8;lacuna;lacuna
36543;Barragem Prefeitura Ponte Branca;Ponte Branca;0;0;2;6;8;lacuna;lacuna
35077;Barragem Primavera;Tangará da Serra;0;0;2;6;8;lacuna;lacuna
35409;Barragem Principal;Santa Cruz do Xingu;0;0;2;6;8;lacuna;lacuna
30909;Barragem Principal;Água Boa;0;0;3;5;8;nao;lacuna
35227;Barragem Principal - Fazenda Juliana;Sorriso;0;0;2;6;8;lacuna;lacuna
26401;Barragem Principal na Fazenda Campo Claro;Ribeirão Cascalheira;0;0;2;6;8;lacuna;lacuna
27404;Barragem Ramax;Novo Horizonte do Norte;0;0;2;6;8;lacuna;lacuna
34694;Barragem Rios Psicultura;Tangará da Serra;0;0;2;6;8;lacuna;lacuna
34700;Barragem Rios Psicultura - a montante;Tangará da Serra;0;0;2;6;8;lacuna;lacuna
35176;Barragem Rotacionado 15 ? Fazenda Gravataí;Itiquira;0;0;2;6;8;lacuna;lacuna
35256;Barragem São Miguel;Sorriso;0;0;2;6;8;lacuna;lacuna
31578;Barragem Taguá;Cuiabá;0;0;2;6;8;lacuna;lacuna
35103;Barragem Tamboril I;Pontes e Lacerda;0;0;2;6;8;lacuna;lacuna
35104;Barragem Tamboril II;Pontes e Lacerda;0;0;2;6;8;lacuna;lacuna
33351;Barragem Taquaral I;Nossa Senhora do Livramento;0;0;2;6;8;lacuna;lacuna
37412;Barragem Terra Nova;Barra do Garças;0;0;2;6;8;lacuna;lacuna
35084;Barragem Terra Nova;Gaúcha do Norte;0;0;2;6;8;lacuna;lacuna
35127;Barragem V -  Fazenda Nossa Senhora Aparecida;Araguaiana;0;0;2;6;8;lacuna;lacuna
35488;Barragem VI;Serra Nova Dourada;0;0;2;6;8;lacuna;lacuna
35108;Barragem VI (montante);Nossa Senhora do Livramento;0;0;2;6;8;lacuna;lacuna
35107;Barragem VII (montante);Nossa Senhora do Livramento;0;0;2;6;8;lacuna;lacuna
35106;Barragem VIII (principal);Nossa Senhora do Livramento;0;0;2;6;8;lacuna;lacuna
35152;Barragem Vitória I ? Principal;Barra do Garças;0;0;2;6;8;lacuna;lacuna
36615;Barragem XIV ? Fazenda Buriti;Araguaiana;0;0;2;6;8;lacuna;lacuna
35115;Barragem XIX;Nossa Senhora do Livramento;0;0;2;6;8;lacuna;lacuna
35102;Barragem XVII;Nossa Senhora do Livramento;0;0;2;6;8;lacuna;lacuna
35116;Barragem XVIII;Nossa Senhora do Livramento;0;0;2;6;8;lacuna;lacuna
36100;Barragem a montante;Cláudia;0;0;2;6;8;lacuna;lacuna
30591;Barragem na Fazenda Gera;Campo Novo do Parecis;0;0;2;6;8;lacuna;lacuna
35059;Barragem na Fazenda Havaí;São José do Xingu;0;0;2;6;8;lacuna;lacuna
32159;Barragem na Fazenda Iguaçu;Santo Antônio do Leste;0;0;2;6;8;lacuna;lacuna
30922;Barragem na Fazenda Izabel;Rondonópolis;0;0;2;6;8;lacuna;lacuna
31661;Barragem na Fazenda Nova Esperança II;Canarana;0;0;2;6;8;lacuna;lacuna
30884;Barragem na Fazenda Paulista III;Nova Marilândia;0;0;2;6;8;lacuna;lacuna
31633;Barragem na Fazenda Remanso I;Sinop;0;0;2;6;8;lacuna;lacuna
31048;Barragem na Fazenda Santa Fé;Canarana;0;0;2;6;8;lacuna;lacuna
31228;Barragem na Fazenda dos Sonhos;Alto Araguaia;0;0;2;6;8;lacuna;lacuna
8176;Barragem principal Estância Bahia Leilões;Água Boa;0;0;2;6;8;lacuna;lacuna
35091;Barragem Ághata II;Santa Cruz do Xingu;0;0;2;6;8;lacuna;lacuna
35223;Barramento (Principal) - Fazenda Progresso;Tabaporã;0;0;2;6;8;lacuna;lacuna
35166;Barramento (montante) - Fazenda Ranchinho;Nova Maringá;0;0;2;6;8;lacuna;lacuna
34480;Barramento - Fazenda Alvorada II;Sinop;0;0;2;6;8;lacuna;lacuna
35072;Barramento - Fazenda Belo Horizonte;Barra do Garças;0;0;2;6;8;lacuna;lacuna
