codigo_cnes;nome_fantasia;nome_razao_social;codigo_municipio;municipio;no_eixo_montante;no_eixo_jusante;bairro_estabelecimento;endereco_estabelecimento;descricao_esfera_administrativa;descricao_nivel_hierarquia;descricao_turno_atendimento;codigo_tipo_unidade;tipo_gestao;atendimento_hospitalar;atendimento_ambulatorial;ambulatorial_sus;centro_cirurgico;centro_obstetrico;centro_neonatal;servico_apoio;latitude;longitude;numero_telefone_estabelecimento;data_atualizacao
2880792;EQUILIBRARE PSICOLOGIA CLINICA;EQUILIBRARE PSICOLOGIA CLINICA LTDA;510340;Cuiabá;Sim;Sim;ALVORADA;HISTORIADOR RUBENS DE MENDONCA;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;36;M;Não;Não;NAO;Não;Não;Não;Não;-15.5881459;-56.0831711;65 81116230;2025-09-03
2883333;UNIMAGEM;UNIMAGEM UNIDADE DE DIAGNOSTICOS POR IMAGEM SIMPLES LTDA;510340;Cuiabá;Sim;Sim;JARDIM CALIFORNIA;PEDREGAL;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;NAO;Não;Não;Não;Sim;-15.5974424;-56.07083738688336;65 21216400;2025-09-03
2893398;PSIQUE CIA;MARCELA O BOSAIPO;510340;Cuiabá;Sim;Sim;BOA ESPERANCA;CORONEL JOSE PEREIRA DINIZ;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.6125381;-56.0578849;65 92131689;2025-09-03
2893703;EIKON DIAGNOSTICOS MEDICOS;EIKON DIAGNOSTICOS MEDICOS LTDA;510340;Cuiabá;Sim;Sim;BOSQUE DA SAUDE;HISTORIADOR RUBENS DE MENDONCA;MUNICIPAL;;ATENDIMENTO COM TURNOS INTERMITENTES;36;M;;Não;NAO;;;;Não;-15.58176785670328;-56.077494120524555;65 96201345;2025-10-17
2896389;INSTITUTO DE ENDOSCOPIA DIGESTIVA LTDA;INSTITUTO DE ENDOSCOPIA DIGESTIVA LTDA;510340;Cuiabá;Sim;Sim;JARDIM TROPICAL;TANCREDO DE ALMEIDA NEVES II;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.596;-56.097;65 33225186;2025-09-03
2900661;CER II CENTRO ESPECIALIZADO EM REABILITACAO DA REGIAO SUL;SECRETARIA MUNICIPAL DE SAUDE;510340;Cuiabá;Sim;Sim;PASCOAL RAMOS;RUA BENEDITO ANTONIO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;SIM;Não;Não;Não;Sim;-15.639149802204184;-55.979531731984494;;2025-09-03
2900971;ESPACO CLINICO PSICOPEDAGOGICO INFLUENCIAR;CLINICA PSICOLOGICA INFLUENCIAR LTDA;510340;Cuiabá;Sim;Sim;MORADA DA SERRA;ALENKER NUC HAB CPA I;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;NAO;Não;Não;Não;Não;-15.556524533222813;-56.05295479805588;65 33654635;2025-10-17
2908425;CLINICA DE ALERGIA E IMUNOLOGIA DR JULIANO PHILIPPI;CLINICA DE ALERGIA E IMUNOLOGIA DR JULIANO PHILIPPI LTDA;510340;Cuiabá;Sim;Sim;BOSQUE DA SAUDE;PRIMAVERA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.585368330571487;-56.07640237033123;65 99892138;2026-07-07
2910519;INSTITUTO OPTOMETRICO MASAO HOTTA;INSTITUTO OPTOMETRICO MASAO HOTTA LTDA;510340;Cuiabá;Sim;Sim;CENTRO NORTE;CAMPO GRANDE I;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;NAO;Não;Não;Não;Não;-15.5955972;-56.0950595;11 71622107;2025-09-03
2912252;TAMIRES PIRES DE MENDONCA;TAMIRES PIRES DE MENDONCA LTDA;510340;Cuiabá;Sim;Sim;JARDIM CUIABA;DAS FLORES;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.5951321;-56.1159083;65 30287325;2025-09-03
2912430;QUALITY SAUDE;NORDESTE EMERGENCIAS E SOLUCOES MEDICAS LTDA;510340;Cuiabá;Sim;Sim;JARDIM PETROPOLIS;DESEMBARGADOR MILTON FIGUEIREDO FERREIRA MENDES;MUNICIPAL;;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);77;M;Não;Não;NAO;Não;Não;Não;Sim;-15.615876331434023;-56.07374311936222;85 30211764;2025-09-03
2912449;CLINICA REVER;CLINICA REVER LTDA;510340;Cuiabá;Sim;Sim;BOA ESPERANCA;TRINTA E UM;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.5488046;-56.0284322;65 99394004;2025-09-03
2914093;DERMATO E CONVENIOS;CREPALDI DERMATO E CONVENIOS LTDA;510340;Cuiabá;Sim;Sim;GOIABEIRAS;ISAAC POVOAS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.594576854446498;-56.103192611884566;65 33213565;2026-07-14
2921936;NEUROCOR SERVICOS MEDICOS;NEUROCOR SERVICOS MEDICOS LTDA;510340;Cuiabá;Sim;Sim;MORADA DA SERRA;PARANATINGA NUC HAB CPA II;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.558982734552558;-56.049776251478704;65 33652581;2025-11-13
2921944;FLORESCER AUTISMO;NASCIMENTO CAMPOS CIA LTDA;510340;Cuiabá;Sim;Sim;JARDIM CUIABA;DAS ORQUIDEAS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.595864147782658;-56.116955592220876;65 36231000;2025-12-20
2927055;ESPACO ATIVA MENTE;CLINICA MULTIDISCIPLINAR ESPACO ATIVA MENTE LTDA;510340;Cuiabá;Sim;Sim;BOA ESPERANCA;TRINTA E CINCO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.628551;-55.9874922;65 93201050;2025-09-03
2928205;O CASTELO DA FADA DO DENTE;CLINICA O CASTELO DA FADA DO DENTE LTDA;510340;Cuiabá;Sim;Sim;JARDIM CUIABA;DAS DALIAS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.5451464;-56.043435;65 96159700;2025-09-03
2932490;FISIOTERAPIA KIDS;FISIOTERAPIA KIDS LTDA;510340;Cuiabá;Sim;Sim;CENTRO SUL;COMANDANTE COSTA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.597998745393745;-56.10055845778436;65 81160784;2025-09-03
2932504;MM RESGATE;F A M VIEIRA;510340;Cuiabá;Sim;Sim;MORADA DA SERRA;QUARENTA E UM NUC HAB CPA III;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;77;M;Não;Não;NAO;Não;Não;Não;Sim;-15.571576743295626;-56.04842263696478;65 84688199;2025-11-13
2932512;MEZZA CLIN;MEZZA CLIN FONOAUDIOLOGIA E ESPACO INTEGRADO MULTIDISCIPLI;510340;Cuiabá;Sim;Sim;JARDIM CUIABA;DAS ACACIAS;MUNICIPAL;;ATENDIMENTO SOMENTE PELA MANHA;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.596692483077272;-56.11102658998446;65 99259608;2025-09-03
2935198;TRANSFORMARE DESENVOLVIMENTO HUMANO LTDA;TRANSFORMARE DESENVOLVIMENTO HUMANO LTDA;510340;Cuiabá;Sim;Sim;CIDADE ALTA;IPIRANGA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;NAO;Não;Não;Não;Sim;-15.60488998993906;-56.112645512712874;65 96439654;2025-09-03
2935864;L G DIAGNOSTICOS;LUIZ GUSTAVO RABONI PALMA;510340;Cuiabá;Sim;Sim;CIDADE ALTA;ARACATUBA LOT JD PRIMAVERA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.595122048635945;-56.116858145095144;65 99976578;2025-09-03
2936216;NUTRI FOR LIFE LTDA;NUTRI FOR LIFE LTDA;510340;Cuiabá;Sim;Sim;DUQUE DE CAXIAS;GENERAL RAMIRO DE NORONHA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.595433565419423;-56.11121284025302;65 81141133;2025-09-11
2937182;WOLKMER SAUDE INTEGRAL;WOLKMER SERVICOS DE SAUDE INTEGRAL LTDA;510340;Cuiabá;Sim;Sim;JARDIM ACLIMACAO;VEREADOR JULIANO DA COSTA MARQUES;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.5825918;-56.0505996;65 36220414;2025-09-03
2941392;PSICO DESENVOLVIMENTO COMPORTAMENTAL;APARECIDA DA COSTA NUNES PSICOLOGA LTDA;510340;Cuiabá;Sim;Sim;JARDIM ITALIA;RUA NAPOLI;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.604548135099927;-56.05767409524867;65 33620750;2025-09-03
2944189;PROJETO CATARATA;IONC INSTITUTO OFTALMOLOGICO DO NORTE E CENTRO OESTE LTDA;510340;Cuiabá;Sim;Sim;CENTRO NORTE;JOAQUIM MURTINHO;DUPLA;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;62;D;Sim;Sim;SIM;Sim;Não;Não;Não;-16.2709309;-56.6429486;65 40420157;2025-09-03
2945517;DANIELA SANTANA LOPES;DANIELA SANTANA LOPES;510340;Cuiabá;Sim;Sim;TIJUCAL;AVENIDA EDSON LUIS DA SILVA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.6038376;-55.9938447;;2025-09-03
2945525;WAGNER MARQUES PEREIRA MALHEIROS;WAGNER MARQUES PEREIRA MALHEIROS;510340;Cuiabá;Sim;Sim;JARDIM CUIABA;AV DAS FLORES LOT JD CUIABA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.594631709242945;-56.116652994920194;;2025-11-27
2950251;IRF PSICOLOGIA INTEGRADA LTDA;IRF PSICOLOGIA INTEGRADA LTDA;510340;Cuiabá;Sim;Sim;CENTRO SUL;COMANDANTE COSTA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.5922214;-56.0949969;65 99791779;2025-09-03
2951908;INSTITUTO NEURO MENTE PLENA;INSTITUTO NEURO MENTE PLENA LTDA;510340;Cuiabá;Sim;Sim;JARDIM CUIABA;DAS VIOLETAS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.6363405;-56.0092582;65 99223282;2025-09-03
2951924;MARIANA MOREIRA SANT ANA;MARIANA MOREIRA SANT ANA;510340;Cuiabá;Sim;Sim;JARDIM CUIABA;AVENIDA DAS FLORES;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.600056169360379;-56.0771369934082;;2025-09-03
2954753;CEICO;CENTRO DE IMAGEM DO CENTRO OESTE LTDA;510340;Cuiabá;Sim;Sim;ARAES;MATO GROSSO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;NAO;Não;Não;Não;Não;-15.592072151569596;-56.092877178117035;65 30262878;2025-09-03
