id_snisb;nome;municipio;orgao_fiscalizador;empreendedor;curso_dagua;codigo_trecho_curso_dagua;relacao_com_cuiaba;categoria_risco;dano_potencial_associado;classe_cnrh;altura_m;capacidade_hm3;uso_principal;fase_de_vida;possui_plano_de_seguranca;possui_pae;data_ultima_inspecao;latitude;longitude
5603;Barragem de Rejeitos Bom Futuro;Nossa Senhora do Livramento;Agência Nacional de Mineração - ANM;A C S MINERACAO;Rio Pari;896574;montante;Alto;Médio;B;15.0;1.318;Contenção de rejeitos de mineração;Operação;Sim;Sim;2024-10-31;-15.65927777799999;-56.28508333299999
20617;PCH Casca III - Casca III;Chapada dos Guimarães;Agência Nacional de Energia Elétrica - ANEEL;APIACAS ENERGIA S.A.;Rio da Casca;89694;montante;Baixo;Baixo;E;38.0;1.24;Hidroelétrica;Operação;Sim;Não;;-15.357500000000016;-55.453599999999994
8009;Faz. Dona Leila - Reservatório 12;Rosário Oeste;MT - Secretaria de Estado do Meio Ambiente - SEMA;VIDEPLAST INDUSTRIA DE EMBALAGEM - LTDA;Ribeirão Grande;896592;montante;Não se Aplica;Baixo;;4.52;1.155;Aquicultura;Operação;Não;;;-15.102199999999982;-56.48700000000002
5560;Barragem de Rejeito Estrela;Nossa Senhora do Livramento;Agência Nacional de Mineração - ANM;HEUREKA MINERACAO LTDA;Córrego Pirapora;8965744;montante;Alto;Alto;A;18.0;1.025;Contenção de rejeitos de mineração;Operação;Sim;Sim;2022-12-19;-15.650278333000017;-56.387022221999985
27937;BRAVO 1;Várzea Grande;Agência Nacional de Mineração - ANM;NAGELLA CHRISSIE BRAVO SERRA;Ribeirão Espinheiro;896578;montante;Baixo;Médio;C;23.0;0.941;Contenção de rejeitos de mineração;Operação;Sim;Sim;2024-11-26;-15.466513888999998;-56.460895832999995
31954;SS RANCH;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;GILMAR NOGUEIRA SCHEFFER;Córrego do Ouro;89657544;montante;Não se Aplica;Médio;;10.5;0.933;Regularização de vazão;Projeto;Sim;Sim;2024-07-06;-15.456694443999993;-56.126583332999985
21940;BR PIRÂMIDE;Nossa Senhora do Livramento;Agência Nacional de Mineração - ANM;SANTA FELICIDADE MINERACAO SPE LTDA;Córrego Tarumã;8965742;montante;Médio;Médio;C;15.0;0.898;Contenção de rejeitos de mineração;Operação;Sim;Sim;2021-12-06;-15.661886111000001;-56.34405277799999
20048;Fazenda Murici Sesmaria Molhado;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;MARIO ARDENES DIAS RIBEIRO;Rio Jangada;89658992;montante;Não Classificado;Baixo;;8.0;0.893;Recreação;Operação;Não;;;-15.663694443999987;-56.810444443999984
34856;Barragem GMX;Nossa Senhora do Livramento;Agência Nacional de Mineração - ANM;MAX JOEL RUSSI;Córrego Tarumã;8965742;montante;Baixo;Baixo;E;;0.891;Contenção de rejeitos de mineração;Construção;Não;;;-15.661883332999992;-56.33473055600001
588;BR SANTA FELICIDADE;Nossa Senhora do Livramento;Agência Nacional de Mineração - ANM;SANTA FELICIDADE MINERACAO SPE LTDA;Córrego Tarumã;8965742;montante;Médio;Médio;C;21.0;0.814;Contenção de rejeitos de mineração;Operação;Sim;Sim;2020-10-21;-15.663845832999982;-56.352613889
