id_snisb;nome_powerbi;municipio_powerbi;comprimento_coroamento_m;altura_estimada_m;capacidade_estimada_m3;data_ultima_fiscalizacao;data_ultima_autuacao;data_inicio_fase_de_vida;data_inspecao_seguranca_regular;tipo_empreendedor;corpo_hidrico;data_atualizacao_registro;situacao_cadastro
23791;Massa d'Água #234391;SÃO FÉLIX DO ARAGUAIA;;;;;;;;;SEM NOME;2025-03-25;
23798;BARRAGEM 01;Poconé;487;0;0;2023-11-07;2021-11-09;2021-10-22;2021-10-01;Pessoa Física;Córrego Piraputanga;2025-11-24;Classe II B - Inertes
23799;Barragem 02;Poconé;1442;0;0;2023-11-07;2021-11-09;2019-06-10;;Pessoa Física;Córrego Piraputanga;2025-11-24;Classe II B - Inertes
23801;Isa;Poconé;745;0;0;2026-04-29;2021-09-20;2025-10-01;;Pessoa Física;Rio Bento Gomes;2025-11-24;Classe II B - Inertes
23802;JABURU 2;NOSSA SENHORA DO LIVRAMENTO;;0;0;;;2022-07-19;;Pessoa Física;Córrego do Cervo;;
23809;Massa d'Água #237472;SÃO FÉLIX DO ARAGUAIA;;;;;;;;;Rio Comandante Fontoura;;
23810;Massa d'Água #237564;ALTO BOA VISTA;;0;0;;;;;;SEM NOME;;
23811;Massa d'Água #237597;BRASNORTE;;;;;;;;;SEM NOME;;
23813;Massa d'Água #240264;COMODORO;;;;;;;;;Córrego Piolho;;
23815;Massa d'Água #240888;BRASNORTE;;;;;;;;;SEM NOME;;
23871;Massa d'Água #243819;RONDOLÂNDIA;;;;;;;;;Igarapé Cajueiro;;
23873;Massa d'Água #243832;VILA BELA DA SANTÍSSIMA TRINDADE;;;;;;;;;Córrego Água Branca;;
23878;Massa d'Água #243864;RONDOLÂNDIA;;;;;;;;;Igarapé Manuel;;
23957;CGH Caramujo - Barramento Caramujo;SALTO DO CÉU;44;;;;;2019-10-01;;Empresas em Geral - Privado;;;
23960;CGH Cambará - Cambará;JACIARA;80;;;;;2012-12-21;;Empresas em Geral - Privado;;;
23961;CGH Embaúba - Embaúba;JACIARA;46;;;;;2012-08-25;;Empresas em Geral - Privado;;;
23962;CGH Sucupira - Sucupira;JACIARA;99;;;;;2008-10-17;;Empresas em Geral - Privado;;;
23987;CGH Desiderio - Barragem 1;CAMPINÁPOLIS;135.5;;;;;2009-08-15;;Empresas em Geral - Privado;;;
23988;CGH Dona Assunta - Barragem 01;CAMPINÁPOLIS;129;;;;;1994-06-01;;Empresas em Geral - Privado;;;
23989;CGH Noidore - Barragem 01;CAMPINÁPOLIS;45;;;;;2002-04-30;;Empresas em Geral - Privado;;;
23991;CGH Sapezal - CGH Sapezal;SAPEZAL;380;;;;;2002-04-10;;Empresas em Geral - Privado;;;
23992;CGH Margarida 2 Duplicidade  - MARGARIDA;COMODORO;25;;;;;1995-05-20;;Empresas em Geral - Privado;;;
23993;CGH SM-01 - CGH SM-01;Itiquira;45;;;;;1984-11-13;;Empresas em Geral - Privado;;;
23994;CGH SM-06 - CGH SM-06;Itiquira;50;;;;;1984-11-29;;Empresas em Geral - Privado;;;
23998;CGH Masutti - MASUTTI;CAMPOS DE JÚLIO;30;;;;;1995-02-20;;Empresas em Geral - Privado;;;
23999;CGH Rio Margarida 2 - MARGARIDA;COMODORO;15;;;;;1995-05-20;;Empresas em Geral - Privado;;;
24022;CGH Tucunaré - CGH Tucunaré;SAPEZAL;564.3;;;;;1987-01-01;;Empresas em Geral - Privado;;;
24061;CGH Rio Vermelho - Usina Rio Vermelho;Itaúba;30;;;;;1986-11-04;;Empresas em Geral - Privado;;;
24088;CGH Santa Cecília - Santa Cecília;JACIARA;100;;;;;2015-04-18;;Empresas em Geral - Privado;;;
24089;CGH Mestre - Mestre;JACIARA;100;;;;;2014-10-27;;Empresas em Geral - Privado;;;
24104;CGH Alto Garças - ALTO GARÇAS;ALTO ARAGUAIA;30.2;;;;;2015-02-03;;Empresas em Geral - Privado;;;
24105;CGH Araguaia - ARAGUAIA;ALTO ARAGUAIA;24.45;;;;;2015-01-18;;Empresas em Geral - Privado;;;
24106;CGH Araguainha - ARAGUAINHA;ALTO ARAGUAIA;122;;;;;2014-07-01;;Empresas em Geral - Privado;;;
24107;CGH MAX-01 (Nova Lacerda)  - NOVA LACERDA;NOVA LACERDA;37;;;;;2015-01-21;;Empresas em Geral - Privado;;;
24181;CGH Ronuro - 1;Boa Esperança do Norte;26.6;;;;;1994-01-01;;Empresas em Geral - Privado;;;
243;Barramento Fazenda Maranata e Maranata II;PRIMAVERA DO LESTE;150;0;0;;;2004-06-06;;Pessoa Física;SEM NOME;2024-10-01;
24302;CGH Matula - CGH Matula;NOVO SÃO JOAQUIM;10;;;;;2011-05-01;;Empresas em Geral - Privado;;;
24306;CGH Itaquerê I - Barragem 1;NOVO SÃO JOAQUIM;47;;;;;1984-06-15;;Pessoa Física;;;
24307;CGH Itaquerê II - Barragem 1;NOVO SÃO JOAQUIM;310;;;;;1985-05-10;;Pessoa Física;;;
26130;Barragem B1;NOSSA SENHORA DO LIVRAMENTO;1350;15;1.15;;;2024-01-21;;;Rio Santana;2026-02-26;
