instante;arquivo;canal;status;detalhe;dry_run
2026-07-30T19:04:30;amarelo_32445.txt;telegram+email;dry-run;"chars=8211; emails_piloto=0";sim
2026-07-30T19:04:30;amarelo_33355.txt;telegram+email;dry-run;"chars=8217; emails_piloto=0";sim
2026-07-30T19:04:30;amarelo_33960.txt;telegram+email;dry-run;"chars=8217; emails_piloto=0";sim
2026-07-30T19:04:30;amarelo_34145.txt;telegram+email;dry-run;"chars=8266; emails_piloto=0";sim
2026-07-30T19:04:30;amarelo_34146.txt;telegram+email;dry-run;"chars=8267; emails_piloto=0";sim
2026-07-30T19:04:30;amarelo_34731.txt;telegram+email;dry-run;"chars=8234; emails_piloto=0";sim
2026-07-30T19:04:30;amarelo_34732.txt;telegram+email;dry-run;"chars=8222; emails_piloto=0";sim
2026-07-30T19:04:30;amarelo_34733.txt;telegram+email;dry-run;"chars=8243; emails_piloto=0";sim
2026-07-30T19:04:30;amarelo_34734.txt;telegram+email;dry-run;"chars=8062; emails_piloto=0";sim
2026-07-30T19:04:41;amarelo_20601.txt;telegram+email;dry-run;"chars=8495; emails_piloto=0";sim
2026-07-30T19:04:41;amarelo_20602.txt;telegram+email;dry-run;"chars=8495; emails_piloto=0";sim
2026-07-30T19:04:41;amarelo_20603.txt;telegram+email;dry-run;"chars=8495; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_20601.txt;telegram+email;dry-run;"chars=8383; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_20602.txt;telegram+email;dry-run;"chars=8383; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_20603.txt;telegram+email;dry-run;"chars=8383; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_20604.txt;telegram+email;dry-run;"chars=8383; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_20605.txt;telegram+email;dry-run;"chars=8383; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_20606.txt;telegram+email;dry-run;"chars=8383; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_20617.txt;telegram+email;dry-run;"chars=8339; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_20618.txt;telegram+email;dry-run;"chars=8184; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_20754.txt;telegram+email;dry-run;"chars=8088; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_26131.txt;telegram+email;dry-run;"chars=8226; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_26138.txt;telegram+email;dry-run;"chars=8350; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_26146.txt;telegram+email;dry-run;"chars=8225; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_26534.txt;telegram+email;dry-run;"chars=7910; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_27954.txt;telegram+email;dry-run;"chars=8103; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_31578.txt;telegram+email;dry-run;"chars=7917; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_31620.txt;telegram+email;dry-run;"chars=7946; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_31954.txt;telegram+email;dry-run;"chars=8111; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_32261.txt;telegram+email;dry-run;"chars=8079; emails_piloto=0";sim
