cr;data_atualizacao;dominio_uniao;epsg;etnia_nome;faixa_fronteira;fase_ti;gid;modalidade_ti;municipio_nome;reestudo_ti;superficie_perimetro_ha;terrai_codigo;terrai_nome;uf_sigla;undadm_codigo;undadm_nome;undadm_sigla
COORDENACAO REGIONAL XINGU;;t;4674;Kisêdjê;Não;Regularizada;494;Tradicionalmente ocupada;Querência;;150329.1865;49801;Wawi;MT;30202002060;COORDENACAO REGIONAL XINGU;CR-XIN
COORDENACAO REGIONAL DE JI PARANA;30/01/2025;t;4674;Zoró;Não;Regularizada;508;Tradicionalmente ocupada;Aripuanã;;355789.5492;51101;Zoró;MT;30202001948;COORDENACAO REGIONAL DE JI PARANA;CR-JPR
COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;02/09/2025;f;4674;Kaiabi;Não;Declarada;516;Tradicionalmente ocupada;Nova Canaã do Norte,Juara,Tabaporã;;117050;52401;Batelão;MT;30202002032;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;CR-NOMT
COORDENACAO REGIONAL XINGU;11/09/2017;t;4674;Naravute;Não;Regularizada;532;Tradicionalmente ocupada;Gaúcha do Norte,Canarana;;27878.5029;55201;Pequizal do Naruvôtu;MT;30202002060;COORDENACAO REGIONAL XINGU;CR-XIN
COORDENACAO REGIONAL XAVANTE;13/07/2026;t;4674;Xavante;Não;Regularizada;539;Tradicionalmente ocupada;Barra do Garças;;188478.26;58101;São Marcos - MT;MT;30202002053;COORDENACAO REGIONAL XAVANTE;CR-XAV
COORDENACAO REGIONAL ARAGUAIA TOCANTINS;20/06/2022;t;4674;Karajá;Não;Regularizada;541;Tradicionalmente ocupada;Luciara,São Félix do Araguaia;;5704.8096;58301;São Domingos - MT;MT;30202001962;COORDENACAO REGIONAL ARAGUAIA TOCANTINS;CR-ATO
COORDENACAO REGIONAL ARAGUAIA TOCANTINS;07/02/2025;t;4674;Karajá;Não;Regularizada;545;Tradicionalmente ocupada;Luciara,São Félix do Araguaia;;32304.7226;58701;Cacique Fontoura;MT;30202001962;COORDENACAO REGIONAL ARAGUAIA TOCANTINS;CR-ATO
COORDENACAO REGIONAL DE CUIABA;22/03/2020;f;4674;Chiquitáno;Sim;Declarada;548;Tradicionalmente ocupada;Porto Esperidião,Pontes e Lacerda,Vila Bela da Santíssima Trindade;;43057;59001;Portal do Encantado;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL DE JI PARANA;05/06/2024;f;4674;Isolados;Não;Declarada;556;Tradicionalmente ocupada;Colniza;;411844;61401;Kawahiva do Rio Pardo;MT;30202001948;COORDENACAO REGIONAL DE JI PARANA;CR-JPR
COORDENACAO REGIONAL NORTE DO MATO GROSSO;01/08/2023;f;4674;Kayapó;Não;Delimitada;568;Tradicionalmente ocupada;Santa Cruz do Xingu e São Félix do Xingu e Vila Rica;;362243;64501;Kapôt Nhinore;MT, PA;30202002039;COORDENACAO REGIONAL NORTE DO MATO GROSSO;CR-NMT
COORDENACAO REGIONAL ARAGUAIA TOCANTINS;10/12/2018;t;4674;Krenák;Não;Regularizada;577;Reserva Indígena;Luciara,Canabrava do Norte;;5973.721;65801;Krenrehé;MT;30202001962;COORDENACAO REGIONAL ARAGUAIA TOCANTINS;CR-ATO
COORDENACAO REGIONAL DE JI PARANA;;f;4674;Isolados;Não;Em Estudo;582;Interditada;Colniza,Rondolândia;;242500;66901;Piripkura ( restrição de uso );MT;30202001948;COORDENACAO REGIONAL DE JI PARANA;CR-JPR
COORDENACAO REGIONAL NORTE DO MATO GROSSO;24/04/2025;f;4674;Isolados,Apiaká;Não;Declarada;590;Tradicionalmente ocupada;Apiacás;;982324;68301;Apiaká do Pontal e Isolados;MT;30202002039;COORDENACAO REGIONAL NORTE DO MATO GROSSO;CR-NMT
COORDENACAO REGIONAL XAVANTE;18/09/2024;f;4674;Xavante;Não;Delimitada;618;Tradicionalmente ocupada;Cocalinho;;145881;73601;Wedezé;MT;30202002053;COORDENACAO REGIONAL XAVANTE;CR-XAV
COORDENACAO REGIONAL ARAGUAIA TOCANTINS;30/04/2026;t;4674;Kanela;Não;Encaminhada RI;661;Reserva Indígena;Luciara e São Félix do Araguaia;;136026.77;73857;Kanela do Araguaia;MT;30202001962;COORDENACAO REGIONAL ARAGUAIA TOCANTINS;CR-ATO
