codigo_estacao,nome_estacao,municipio,uf,cod_ibge,lat,lon,nome_rio,fonte
01455013,UHE MANSO MET,Chapada dos Guimarães,MT,5103007,-14.8614,-55.7894,Rio Manso,ANA_SAMPLE
01355006,PZ_LUCAS DO RIO VERDE,Lucas do Rio Verde,MT,5105259,-13.0733,-55.9231,,ANA_SAMPLE
15043000,UHE GUAPORÉ MONTANTE 1,Jauru,MT,5105000,-15.0594,-58.9106,Rio Guaporé,ANA_SAMPLE
00758002,FOZ DO JURUENA,Apiacás,MT,5100805,-7.7311,-58.2808,Rio Juruena,ANA_SAMPLE
01052001,RIO COMANDANTE FONTOURA,São José do Xingu,MT,5107354,-10.5547,-52.1833,Rio Xingu,ANA_SAMPLE
