codigo_ibge;municipio;data_referencia;chuva_24h_mm;chuva_72h_mm;chuva_prevista_24_72h_mm;percentil_climatologico;saturacao_antecedente;indice_saturacao_solo;classe_saturacao_solo;razao_nivel_cota_alerta;nivel_alerta_hidro;dias_consecutivos_chuva_intensa;dias_com_serie_precip;fonte_precip;fonte_previsao;fonte_solo;fonte_hidro;alerta_cemaden;alerta_cemaden_nivel;alerta_inmet;alerta_inmet_nivel;alerta_ana_nivel;nivel_alerta_integrado;score_alerta_integrado;componente_dominante;motivo_integrado;vazao_prevista_glofas_m3s;fonte_glofas;aproximacao_espacial
5106109;Nossa Senhora do Livramento;2026-09-06;5.6;6.8;2.3;57.7;0,4650;46,5;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106158;Nova Bandeirantes;2026-09-06;3.4;13.7;1.9;43.0;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106174;Nova Nazaré;2026-09-06;14.3;15.6;17.3;94.4;0,4030;40,3;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106182;Nova Lacerda;2026-09-06;7.3;12.6;0.4;71.1;0,8280;82,8;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106190;Nova Santa Helena;2026-09-06;3.1;4.8;5.0;40.8;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106208;Nova Brasilândia;2026-09-06;2.1;3.1;15.3;35.2;0,1680;16,8;baixa;0,55;verde;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;;;Tempestade;amarelo;verde;;;;;;;municipio_sede
5106216;Nova Canaã do Norte;2026-09-06;17.9;30.5;6.0;97.2;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106224;Nova Mutum;2026-09-06;3.7;4.7;10.6;44.4;0,6680;66,8;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106232;Nova Olímpia;2026-09-06;11.3;13.4;1.2;85.9;0,6320;63,2;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106240;Nova Ubiratã;2026-09-06;1.2;3.5;2.6;23.9;0,8910;89,1;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106257;Nova Xavantina;2026-09-06;6.0;6.2;8.3;62.7;0,2550;25,5;baixa;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106265;Novo Mundo;2026-09-06;1.3;8.2;27.9;26.1;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106273;Novo Horizonte do Norte;2026-09-06;0.5;2.9;6.6;14.1;0,8320;83,2;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106281;Novo São Joaquim;2026-09-06;8.8;10.3;12.3;76.8;0,4240;42,4;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106299;Paranaíta;2026-09-06;4.3;16.8;4.6;49.3;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106307;Paranatinga;2026-09-06;12.8;13.6;3.3;91.5;0,9090;90,9;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106315;Novo Santo Antônio;2026-09-06;5.1;6.8;4.3;54.2;0,3580;35,8;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106372;Pedra Preta;2026-09-06;1.3;4.0;3.6;26.1;0,1380;13,8;baixa;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106422;Peixoto de Azevedo;2026-09-06;0.6;3.9;6.0;14.8;0,8490;84,9;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106455;Planalto da Serra;2026-09-06;0.8;4.4;6.9;16.2;0,4660;46,6;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106505;Poconé;2026-09-06;7.7;10.0;0.7;73.2;0,4470;44,7;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106653;Pontal do Araguaia;2026-09-06;13.1;18.3;8.4;92.3;0,1450;14,5;baixa;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106703;Ponte Branca;2026-09-06;7.0;9.6;3.4;67.6;0,4370;43,7;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106752;Pontes e Lacerda;2026-09-06;4.9;5.6;0.3;52.8;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106778;Porto Alegre do Norte;2026-09-06;12.3;16.0;4.7;90.1;0,7530;75,3;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106802;Porto dos Gaúchos;2026-09-06;5.2;8.2;4.4;54.9;0,7640;76,4;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106828;Porto Esperidião;2026-09-06;12.0;14.9;0.3;88.0;0,7450;74,5;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5106851;Porto Estrela;2026-09-06;12.1;18.3;0.9;88.7;0,4180;41,8;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107008;Poxoréu;2026-09-06;0.2;1.6;7.9;10.6;0,3060;30,6;baixa;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107040;Primavera do Leste;2026-09-06;1.2;2.5;13.6;23.9;0,8340;83,4;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107065;Querência;2026-09-06;6.4;7.3;7.7;66.2;0,8830;88,3;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107107;São José dos Quatro Marcos;2026-09-06;9.5;15.6;0.8;81.0;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107156;Reserva do Cabaçal;2026-09-06;6.4;10.8;2.2;66.2;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107180;Ribeirão Cascalheira;2026-09-06;10.5;22.7;10.5;84.5;0,5130;51,3;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107198;Ribeirãozinho;2026-09-06;9.5;9.7;4.0;81.0;0,3140;31,4;baixa;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107206;Rio Branco;2026-09-06;33.3;48.5;1.4;99.3;1,0000;100,0;muito_alta;;;1;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107248;Santa Carmem;2026-09-06;0.1;1.4;4.8;8.5;0,9940;99,4;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107263;Santo Afonso;2026-09-06;2.2;4.0;2.3;35.9;0,6800;68,0;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107297;São José do Povo;2026-09-06;0.3;3.6;3.4;11.3;0,8390;83,9;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107305;São José do Rio Claro;2026-09-06;3.8;5.3;3.8;45.8;0,9920;99,2;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107354;São José do Xingu;2026-09-06;0.7;6.9;2.8;15.5;0,9580;95,8;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107404;São Pedro da Cipa;2026-09-06;0.1;5.6;12.1;8.5;0,2340;23,4;baixa;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107578;Rondolândia;2026-09-06;5.9;11.5;2.8;60.6;1,0000;100,0;muito_alta;0,55;verde;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;;;Tempestade;amarelo;verde;;;;;;;municipio_sede
5107602;Rondonópolis;2026-09-06;0.0;2.2;5.7;4.9;0,7320;73,2;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107701;Rosário Oeste;2026-09-06;1.7;3.1;1.5;31.0;0,3640;36,4;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107743;Santa Cruz do Xingu;2026-09-06;13.8;22.0;5.5;93.0;0,7070;70,7;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107750;Salto do Céu;2026-09-06;16.0;21.3;1.1;95.8;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107768;Santa Rita do Trivelato;2026-09-06;4.2;6.9;6.2;48.6;0,7180;71,8;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107776;Santa Terezinha;2026-09-06;11.0;13.7;3.1;85.2;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107792;Santo Antônio do Leste;2026-09-06;7.3;9.2;24.8;71.1;0,6730;67,3;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5107800;Santo Antônio de Leverger;2026-09-06;1.6;2.5;4.5;30.3;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
