id_snisb;nome;municipio_sede;codigo_ibge;data_referencia;chuva_24h_mm;chuva_72h_mm;chuva_prevista_24_72h_mm;percentil_climatologico;saturacao_antecedente;razao_nivel_cota_alerta;dias_consecutivos_chuva_intensa;fonte_precip;fonte_previsao;fonte_solo;fonte_hidro;nivel_alerta_hidro;alerta_cemaden;alerta_cemaden_nivel;alerta_inmet;alerta_inmet_nivel;alerta_ana_nivel;nivel_alerta_integrado;score_alerta_integrado;componente_dominante;motivo_integrado;vazao_prevista_glofas_m3s;fonte_glofas;n_municipios_contribuintes;municipios_contribuintes_ibge;aproximacao_espacial;fonte_telemetria_a;estacao_inmet;dist_estacao_km;cota_cm;vazao_m3s;cota_alerta_cm;codigo_estacao_ana_ref;a6_fonte;data_cota_ana
5159;PCH Da Fazenda - Da Fazenda;Alta Floresta;5100250;2026-09-06;4.7;13.8;1.9;50.7;1,0000;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100250;municipio_sede;;;;;;;17394000;sem_cota_alerta;
20131;PRINCIPAL 2A;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;14;5100250|5102793|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;;;;17381600;sem_cota_alerta;
339;Refugio dos Pardais;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;13;5100250|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;;;;17381600;sem_cota_alerta;
333;Sítio São Judas Tadeu;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;14;5100250|5102793|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;;;;17381600;sem_cota_alerta;
20130;barramento 1B;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;14;5100250|5102793|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;;;;17381600;sem_cota_alerta;
20132;barramento 4;Alta Floresta;5100250;2026-09-06;17.9;30.5;13.6;97.2;1,0000;0,55;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;verde;;;Tempestade;amarelo;;;;;;44.39;openmeteo_glofas_copernicus_ems;14;5100250|5102793|5104526|5104559|5105259|5105580|5106190|5106216|5107768|5107909|5107925|5108006|5108055|5108501;sede_mais_montante_max;;;;;;;17381600;sem_cota_alerta;
31228;Barragem na Fazenda dos Sonhos;Alto Araguaia;5100300;2026-09-06;2.5;7.4;10.0;30.0;0,4400;;0;openmeteo_ponto;openmeteo_ponto;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100300;ponto_barragem_telemetria;openmeteo_ponto;;;;;;24055000;sem_cota_alerta;
24104;CGH Alto Garças - ALTO GARÇAS;Alto Araguaia;5100300;2026-09-06;2.8;8.8;9.8;38.0;0,4400;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100300;municipio_sede;;;;;;;24055000;sem_cota_alerta;
24105;CGH Araguaia - ARAGUAIA;Alto Araguaia;5100300;2026-09-06;2.8;8.8;9.8;38.0;0,4400;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100300;municipio_sede;;;;;;;24055000;sem_cota_alerta;
24106;CGH Araguainha - ARAGUAINHA;Alto Araguaia;5100300;2026-09-06;2.8;8.8;9.8;38.0;0,4400;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100300;municipio_sede;;;;;;;24055000;sem_cota_alerta;
