id_snisb;nome_barragem;municipio_sede;piloto_eixo;rank;codigo_estacao;nome_estacao;nome_rio;municipio_estacao;lat;lon;dist_barragem_km;dist_eixo_km;no_corredor_eixo;relacao;cota_cm;vazao_m3s;cota_alerta_cm;razao_nivel_cota_alerta;data_ultima;fonte_estacao;fonte_telemetria;a6_fonte
20603;UHE Manso - Dique 4;Chapada dos Guimarães;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;3,81;1,04;1;local;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;cota_medida
20604;UHE Manso - Dique 5;Chapada dos Guimarães;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;4,64;1,04;1;local;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;cota_medida
20605;UHE Manso - Dique 6;Chapada dos Guimarães;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;5,66;1,04;1;local;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;cota_medida
20606;UHE Manso - Dique 7;Chapada dos Guimarães;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;6,05;1,04;1;local;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;cota_medida
36066;Barragem I;Confresa;0;1;01052001;RIO COMANDANTE FONTOURA;Rio Xingu;São José do Xingu;-10,554700;-52,183300;65,78;618,32;0;montante;;;;;;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;
26333;PREFEITURA MUNICIPAL DE CONFRESA;Confresa;0;1;01052001;RIO COMANDANTE FONTOURA;Rio Xingu;São José do Xingu;-10,554700;-52,183300;65,77;618,32;0;montante;;;;;;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;
34732;BARRAGEM 1;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;72,50;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
34733;BARRAGEM 2 SUPERIOR;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;72,63;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
34734;BARRAGEM 3;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;73,27;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
35000;Barragem 01 - Fazenda 3 Irmãos;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;65,13;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
32398;Barragem 02 – Fazenda 3 Irmãos;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;64,34;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
32421;Barragem 03 – Fazenda 3 Irmãos;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;64,99;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
34731;Barragem 2  Principal;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;73,08;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
36689;Barragem I - Fazenda Pouso da Garça;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;78,79;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
36690;Barragem II - Fazenda Pouso da Garça;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;78,17;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
