codigo_setor;codigo_ibge;municipio;situacao;area_km2;populacao;domicilios;latitude;longitude;ano_censo;fonte;aviso
510340310420177;5103403;Cuiabá;Urbana;0.1636;488;260;-15.616057;-56.054987;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420178;5103403;Cuiabá;Urbana;0.1868;410;247;-15.616516;-56.057753;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420078;5103403;Cuiabá;Urbana;0.1538;514;330;-15.61519;-56.066229;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420072;5103403;Cuiabá;Urbana;0.5463;876;458;-15.612211;-56.049509;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420117;5103403;Cuiabá;Urbana;0.1437;837;481;-15.615581;-56.073164;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420077;5103403;Cuiabá;Urbana;0.1916;600;275;-15.614129;-56.05397;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420054;5103403;Cuiabá;Urbana;0.1498;422;246;-15.614659;-56.06781;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420114;5103403;Cuiabá;Urbana;0.4253;592;232;-15.610525;-56.039122;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420049;5103403;Cuiabá;Urbana;0.1852;819;386;-15.613648;-56.059204;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420001;5103403;Cuiabá;Urbana;0.7964;97;105;-15.610502;-56.066292;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420048;5103403;Cuiabá;Urbana;0.1296;429;236;-15.613188;-56.061293;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420050;5103403;Cuiabá;Urbana;0.0771;396;276;-15.609927;-56.058214;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340305420119;5103403;Cuiabá;Urbana;0.1459;241;96;-15.608933;-56.070892;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420107;5103403;Cuiabá;Urbana;0.1713;353;145;-15.607678;-56.055496;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420002;5103403;Cuiabá;Urbana;0.2508;487;193;-15.60584;-56.066713;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420004;5103403;Cuiabá;Urbana;0.1912;372;222;-15.606225;-56.057873;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340305420141;5103403;Cuiabá;Urbana;0.1197;485;211;-15.605335;-56.071056;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420182;5103403;Cuiabá;Urbana;1.0068;590;276;-15.609825;-56.045673;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310430041;5103403;Cuiabá;Urbana;0.1004;402;213;-15.620518;-56.063934;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
