rank;score_prioridade;faixa;id_snisb;nome;municipio_sede;nivel;idap;dano_potencial_associado;uso_principal;n_municipios_extraterritoriais;n_lacunas_pae;alertavel;pts_dpa;pts_rejeito;pts_nivel;pts_extraterritorial;pts_pae;pts_nao_alertavel
170;34;média;32421;Barragem 03 – Fazenda 3 Irmãos;Cuiabá;Amarelo;21;Médio;Aquicultura;2;8;sim;0;0;10;9;15;0
171;34;média;34731;Barragem 2  Principal;Cuiabá;Amarelo;21;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
172;34;média;36532;Barragem Gran Fish - Jusante;Nova Marilândia;Amarelo;21;Baixo;Aquicultura;1;8;não avaliado;0;0;10;9;15;0
173;34;média;36533;Barragem Gran Fish – Montante;Nova Marilândia;Amarelo;21;Baixo;Aquicultura;1;8;não avaliado;0;0;10;9;15;0
174;34;média;36689;Barragem I - Fazenda Pouso da Garça;Cuiabá;Amarelo;20;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
175;34;média;36690;Barragem II - Fazenda Pouso da Garça;Cuiabá;Amarelo;20;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
176;34;média;36691;Barragem III - Fazenda Pouso da Garça;Cuiabá;Amarelo;20;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
177;34;média;31578;Barragem Taguá;Cuiabá;Amarelo;20;Baixo;Dessedentação Animal;2;8;sim;0;0;10;9;15;0
178;34;média;33960;Barramento 1 - Mangaba Urbanismo LTDA;Cuiabá;Amarelo;19;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
179;34;média;36517;Barramento 2 (Montante);Cuiabá;Amarelo;21;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
180;34;média;33355;Barramento 2 - Mangaba Urbanismo LTDA;Cuiabá;Amarelo;19;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
181;34;média;36516;Barramento 3;Cuiabá;Amarelo;22;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
182;34;média;35136;Barramento 4;Cuiabá;Amarelo;21;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
183;34;média;35182;Barramento 5;Cuiabá;Amarelo;23;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
184;34;média;35181;Barramento 6;Cuiabá;Amarelo;23;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
185;34;média;35180;Barramento 7;Cuiabá;Amarelo;23;Baixo;Paisagismo;2;8;sim;0;0;10;9;15;0
186;34;média;35027;Barramento ? Fazenda Jardim;Cuiabá;Amarelo;21;Baixo;Irrigação;2;8;sim;0;0;10;9;15;0
187;34;média;34039;CGH Fazenda Dois Irmãos - Córrego Seixas - Fazenda Dois Irmãos;Conquista D'Oeste;Amarelo;20;Baixo;Hidroelétrica;2;8;não avaliado;0;0;10;9;15;0
188;34;média;34043;CGH Saxão - principal;Nova Lacerda;Amarelo;20;Baixo;Hidroelétrica;1;8;não avaliado;0;0;10;9;15;0
189;34;média;20141;Chapéu do Sol;Várzea Grande;Amarelo;21;Baixo;Aquicultura;2;8;sim;0;0;10;9;15;0
190;34;média;20754;Fazenda 3 irmãos;Cuiabá;Amarelo;19;Baixo;Aquicultura;2;8;sim;0;0;10;9;15;0
191;34;média;26534;Fazenda KM;Cuiabá;Amarelo;19;Baixo;Abastecimento humano;2;8;sim;0;0;10;9;15;0
192;34;média;31620;Loteamento Brisas do Campo;Cuiabá;Amarelo;21;Baixo;Recreação;2;8;sim;0;0;10;9;15;0
193;34;média;32445;Mangaba e Aterrado;Cuiabá;Amarelo;20;Baixo;Regularização de vazão;2;8;sim;0;0;10;9;15;0
194;34;média;32261;Represa da Estrada;Cuiabá;Amarelo;21;Médio;Aquicultura;2;8;sim;0;0;10;9;15;0
195;34;média;31954;SS RANCH;Cuiabá;Amarelo;21;Médio;Regularização de vazão;2;6;sim;0;0;10;9;15;0
196;34;média;26538;Sitio Pirapora;Nossa Senhora do Livramento;Amarelo;22;Baixo;Aquicultura;2;8;sim;0;0;10;9;15;0
197;32;média;21945;ARENAL;Aripuanã;Verde;10;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
198;32;média;20335;Alain II;Poconé;Amarelo;20;Médio;Contenção de rejeitos de mineração;0;2;não avaliado;0;15;10;0;7;0
199;32;média;21944;Alvo Crente;Paranaíta;Verde;10;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
200;32;média;8002;BACIA DE REJEITOS BOM JARDIM;Poconé;Amarelo;20;Médio;Contenção de rejeitos de mineração;0;3;não avaliado;0;15;10;0;7;0
201;32;média;8003;BACIA DE REJEITOS SÃO BENTO;Poconé;Amarelo;26;Médio;Contenção de rejeitos de mineração;0;3;não avaliado;0;15;10;0;7;0
202;32;média;27620;BARRAGEM DE MINERAÇÃO;Nossa Senhora do Livramento;Verde;17;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
203;32;média;35611;BARRAGEM DE MINERAÇÃO HUMBERTO;Nossa Senhora do Livramento;Verde;13;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
204;32;média;31358;BARRAGEM DE REJEITO NORMA;Poconé;Verde;17;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
205;32;média;35573;BARRAGEM DO POÇO;Pontes e Lacerda;Verde;18;Baixo;Industrial;3;5;não avaliado;0;0;2;15;15;0
206;32;média;29888;BARRAGEM FAZENDA PANFLORA;Rosário Oeste;Verde;16;Não Classificado;Dessedentação Animal;3;6;sim;0;0;2;15;15;0
207;32;média;37433;BARRAGEM PICOLÉ;Nossa Senhora do Livramento;Verde;10;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
208;32;média;31468;BARRAGEM PRINCIPAL;Sorriso;Verde;15;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
209;32;média;1279;BARRAGEM T01;Poconé;Amarelo;20;Médio;Contenção de rejeitos de mineração;0;2;não avaliado;0;15;10;0;7;0
210;32;média;5794;BARRAGEM T02;Cuiabá;Amarelo;16;Médio;Contenção de rejeitos de mineração;0;2;não avaliado;0;15;10;0;7;0
211;32;média;35177;BARRAMENTO PRINCIPAL FAZ. REUNIDAS SÃO ROBERTO;Vera;Verde;15;Baixo;Recreação;5;8;não avaliado;0;0;2;15;15;0
212;32;média;582;BOM PASTOR;Poconé;Verde;12;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
213;32;média;21927;BR BRASÃO;Nossa Senhora do Livramento;Amarelo;22;Baixo;Contenção de rejeitos de mineração;0;3;não avaliado;0;15;10;0;7;0
214;32;média;5477;BR ISMAEL;Poconé;Amarelo;26;Baixo;Contenção de rejeitos de mineração;0;3;não avaliado;0;15;10;0;7;0
215;32;média;27570;BR ÁGUIA DO SOL;Santo Antônio de Leverger;Verde;13;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
216;32;média;28934;BR02;Nossa Senhora do Livramento;Amarelo;28;Baixo;Contenção de rejeitos de mineração;0;3;não avaliado;0;15;10;0;7;0
217;32;média;26158;BRITO;Nossa Senhora do Livramento;Verde;17;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
218;32;média;21948;Bacia de Decantação S1;Nossa Senhora do Livramento;Verde;17;Baixo;Contenção de sedimentos de mineração;0;5;não avaliado;0;15;2;0;15;0
219;32;média;1265;Bacia de Rejeitos;Nossa Senhora do Livramento;Amarelo;37;Baixo;Contenção de rejeitos de mineração;0;3;não avaliado;0;15;10;0;7;0
220;32;média;35193;Barragem - Fazenda Jaçanã;Vera;Verde;15;Baixo;Paisagismo;4;8;não avaliado;0;0;2;15;15;0
221;32;média;23798;Barragem 01;Poconé;Amarelo;20;Médio;Contenção de rejeitos de mineração;0;2;não avaliado;0;15;10;0;7;0
222;32;média;23799;Barragem 02;Poconé;Amarelo;20;Médio;Contenção de rejeitos de mineração;0;2;não avaliado;0;15;10;0;7;0
223;32;média;28709;Barragem 1;Ipiranga do Norte;Verde;12;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
224;32;média;20139;Barragem 2;Sorriso;Verde;15;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
225;32;média;338;Barragem A2;Nova Ubiratã;Verde;14;Baixo;Irrigação;4;8;não avaliado;0;0;2;15;15;0
226;32;média;26130;Barragem B1;Nossa Senhora do Livramento;Verde;10;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
227;32;média;8035;Barragem Caititu;Sorriso;Verde;14;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
228;32;média;21950;Barragem Candonga;Nossa Senhora do Livramento;Verde;17;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
229;32;média;31709;Barragem Chácara nº 270;Sinop;Verde;16;Médio;Recreação;3;7;não avaliado;0;0;2;15;15;0
230;32;média;35537;Barragem Fazenda Barreiro III;Sorriso;Verde;15;Baixo;Irrigação;5;6;não avaliado;0;0;2;15;15;0
231;32;média;36471;Barragem Fazenda Campina do Sul;Tapurah;Verde;14;Não Classificado;Dessedentação Animal;3;6;não avaliado;0;0;2;15;15;0
232;32;média;31744;Barragem Fazenda Nossa Senhora Salete;Vera;Verde;15;Baixo;Irrigação;5;6;não avaliado;0;0;2;15;15;0
233;32;média;34712;Barragem I - Fazenda Lucion;Vera;Verde;15;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
234;32;média;5873;Barragem I - Fazenda Militância I;Vera;Verde;15;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
235;32;média;30908;Barragem I - Fazenda Nandico;Vera;Verde;15;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
236;32;média;19988;Barragem I - Fazenda Santa Ernestina I;Sorriso;Verde;13;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
237;32;média;32441;Barragem I - Fazenda Vedana;Vera;Verde;15;Baixo;Irrigação;3;8;não avaliado;0;0;2;15;15;0
238;32;média;31648;Barragem I Fazenda Santana;Sorriso;Verde;15;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
239;32;média;34857;Barragem I Jangada Agropastoril;Jangada;Verde;17;Médio;Irrigação;3;8;sim;0;0;2;15;15;0
240;32;média;19995;Barragem IMA;Sorriso;Verde;13;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
241;32;média;21954;Barragem Magrini;Poconé;Verde;19;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;2;0;15;0
242;32;média;27627;Barragem Novo Astro;Nova Bandeirantes;Verde;18;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
243;32;média;34737;Barragem PM1;Juruena;Verde;9;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
244;32;média;35227;Barragem Principal - Fazenda Juliana;Sorriso;Verde;15;Baixo;Paisagismo;6;8;não avaliado;0;0;2;15;15;0
245;32;média;32031;Barragem Rejeito Max 2;Nossa Senhora do Livramento;Verde;15;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
246;32;média;8014;Barragem Salinas 1;Nossa Senhora do Livramento;Verde;12;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
247;32;média;35256;Barragem São Miguel;Sorriso;Verde;15;Baixo;Irrigação;7;8;não avaliado;0;0;2;15;15;0
248;32;média;7996;Barragem T05;Poconé;Verde;15;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
249;32;média;7995;Barragem T06;Poconé;Verde;11;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
250;32;média;22006;Barragem T09;Nossa Senhora do Livramento;Verde;12;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
251;32;média;35103;Barragem Tamboril I;Pontes e Lacerda;Verde;18;Baixo;Dessedentação Animal;3;8;não avaliado;0;0;2;15;15;0
252;32;média;35104;Barragem Tamboril II;Pontes e Lacerda;Verde;18;Baixo;Dessedentação Animal;3;8;não avaliado;0;0;2;15;15;0
253;32;média;26239;Barragem Torio 01;Paranaíta;Verde;10;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
254;32;média;32390;Barragem VERA;Poconé;Verde;12;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
255;32;média;35102;Barragem XVII;Nossa Senhora do Livramento;Verde;17;Baixo;Aquicultura;3;8;sim;0;0;2;15;15;0
256;32;média;29382;Barragem de Rejeito - Mineração Ouro Fino;Nossa Senhora do Livramento;Verde;18;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
257;32;média;574;Barragem de Rejeito 01;Nossa Senhora do Livramento;Amarelo;31;Baixo;Contenção de rejeitos de mineração;0;3;não avaliado;0;15;10;0;7;0
258;32;média;35082;Barragem de Rejeito 01;Nossa Senhora do Livramento;Amarelo;25;Baixo;Contenção de rejeitos de mineração;0;3;não avaliado;0;15;10;0;7;0
259;32;média;29380;Barragem de Rejeito Capim Gold 2;Nossa Senhora do Livramento;Verde;10;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
260;32;média;26145;Barragem de Rejeitos SB 02;Poconé;Amarelo;26;Baixo;Contenção de rejeitos de mineração;0;3;não avaliado;0;15;10;0;7;0
261;32;média;5648;Barragem do Serginho;Nossa Senhora do Livramento;Amarelo;27;Médio;Contenção de rejeitos de mineração;0;3;não avaliado;0;15;10;0;7;0
262;32;média;31633;Barragem na Fazenda Remanso I;Sinop;Verde;16;Baixo;Paisagismo;3;8;não avaliado;0;0;2;15;15;0
263;32;média;31228;Barragem na Fazenda dos Sonhos;Alto Araguaia;Verde;12;Baixo;Dessedentação Animal;3;8;não avaliado;0;0;2;15;15;0
264;32;média;31656;Barragerm Chácara nº269;Sinop;Verde;16;Médio;Recreação;3;7;não avaliado;0;0;2;15;15;0
265;32;média;35390;Barramento - Fazenda Rancho Alegre;Vila Bela da Santíssima Trindade;Verde;15;Baixo;Aquicultura;3;8;não avaliado;0;0;2;15;15;0
266;32;média;35461;Barramento - Fazenda Santo Antônio;Sorriso;Verde;15;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
267;32;média;34025;Barramento 01 (Montante) São Cristóvão;Sorriso;Verde;15;Baixo;Aquicultura;6;8;não avaliado;0;0;2;15;15;0
268;32;média;20070;Barramento 02 (Montante) - São Cristóvão;Sorriso;Verde;15;Médio;Aquicultura;6;8;não avaliado;0;0;2;15;15;0
269;32;média;35272;Barramento 02 Fazenda Água Azul;Sorriso;Verde;15;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
270;32;média;34024;Barramento 3-  São Cristóvão;Sorriso;Verde;15;Médio;Aquicultura;6;8;não avaliado;0;0;2;15;15;0
271;32;média;36511;Barramento Fazenda Cascata e Cascata II;Sorriso;Verde;15;Baixo;Paisagismo;6;8;não avaliado;0;0;2;15;15;0
272;32;média;31632;Barramento Fazenda Remanso II;Sinop;Verde;16;Baixo;Paisagismo;3;8;não avaliado;0;0;2;15;15;0
273;32;média;8050;Barramento Fazenda Rodeio;Sorriso;Verde;17;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
274;32;média;31665;Barramento Fazenda Sossego 2;Nova Mutum;Verde;18;Baixo;Irrigação;3;8;não avaliado;0;0;2;15;15;0
275;32;média;35534;Barramento Fazenda Água Azul II;Sorriso;Verde;15;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
276;32;média;35391;Barramento II (Montante) - Fazenda Rancho Alegre;Vila Bela da Santíssima Trindade;Verde;15;Baixo;Paisagismo;3;8;não avaliado;0;0;2;15;15;0
277;32;média;31000;Barramento II - Fazenda Cabeceira;Ipiranga do Norte;Verde;13;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
278;32;média;28620;Barramento II - Fazenda Cascata;Ipiranga do Norte;Verde;18;Médio;Irrigação;3;8;não avaliado;0;0;2;15;15;0
279;32;média;35477;Barramento III - Fazenda São José I;Rosário Oeste;Verde;14;Baixo;Aquicultura;5;8;sim;0;0;2;15;15;0
280;32;média;35130;Barramento MONTANTE;Sorriso;Verde;15;Baixo;Recreação;6;8;não avaliado;0;0;2;15;15;0
281;32;média;35131;Barramento MONTANTE 2;Sorriso;Verde;15;Baixo;Recreação;6;8;não avaliado;0;0;2;15;15;0
282;32;média;35230;Barramento Montante - Fazenda Juliana;Sorriso;Verde;15;Baixo;Paisagismo;6;8;não avaliado;0;0;2;15;15;0
283;32;média;35128;Barramento PRINCIPAL;Sorriso;Verde;15;Baixo;Recreação;6;8;não avaliado;0;0;2;15;15;0
284;32;média;8043;Barramento Sede;Sorriso;Verde;15;Baixo;Paisagismo;5;8;não avaliado;0;0;2;15;15;0
285;32;média;34590;Barramento a montante 2;Vera;Verde;15;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
286;32;média;34589;Barrametno a montante 2;Vera;Verde;15;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
287;32;média;8001;CAMPOS;Poconé;Verde;11;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
288;32;média;304;CARLOS ALBERTO CAPELETTI - FAZENDA TOLEDO;Tapurah;Verde;16;Baixo;Irrigação;7;8;não avaliado;0;0;2;15;15;0
289;32;média;29387;CATARINO;Poconé;Verde;17;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;2;0;15;0
290;32;média;34184;CGH Agromar - BARRAMENTO 1;Diamantino;Verde;12;Baixo;Hidroelétrica;4;8;não avaliado;0;0;2;15;15;0
291;32;média;24104;CGH Alto Garças - ALTO GARÇAS;Alto Araguaia;Verde;11;Baixo;Hidroelétrica;3;8;não avaliado;0;0;2;15;15;0
292;32;média;24105;CGH Araguaia - ARAGUAIA;Alto Araguaia;Verde;11;Baixo;Hidroelétrica;3;8;não avaliado;0;0;2;15;15;0
293;32;média;24106;CGH Araguainha - ARAGUAINHA;Alto Araguaia;Verde;11;Baixo;Hidroelétrica;3;8;não avaliado;0;0;2;15;15;0
294;32;média;20472;CGH Buritizal - NÃO POSSUI BARRAMENTO, DERIVAÇÃO LATERAL DIRETA;São José do Rio Claro;Verde;14;Baixo;Hidroelétrica;3;8;não avaliado;0;0;2;15;15;0
295;32;média;35025;CGH DUAS PONTES - Barramento Duas Pontes;Nova Maringá;Verde;13;Baixo;Hidroelétrica;3;8;não avaliado;0;0;2;15;15;0
296;32;média;34130;CGH Fazenda Sao Jose I - Sorriso - BARRAGEM - FAZ. SÃO JOSÉ;Sorriso;Verde;15;Baixo;Hidroelétrica;6;8;não avaliado;0;0;2;15;15;0
297;32;média;34135;CGH ITAUBÁ - USINA;Itaúba;Verde;12;Baixo;Hidroelétrica;3;8;não avaliado;0;0;2;15;15;0
298;32;média;787;CHICO;Poconé;Verde;17;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;2;0;15;0
299;32;média;26629;DIEGO;Poconé;Verde;13;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;2;0;15;0
300;32;média;22011;Davi;Poconé;Amarelo;26;Médio;Contenção de rejeitos de mineração;0;3;não avaliado;0;15;10;0;7;0
301;32;média;8007;Destilaria de Álcool Libra LTDA;São José do Rio Claro;Verde;14;Baixo;Industrial;3;8;não avaliado;0;0;2;15;15;0
302;32;média;33406;Estrela de Fogo;Sorriso;Verde;15;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
303;32;média;27940;Estância 2R - Retiro Vista Alegre;Rosário Oeste;Verde;16;Baixo;Dessedentação Animal;3;8;sim;0;0;2;15;15;0
304;32;média;8042;FAZ. CEOLATTO;Sorriso;Verde;13;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
305;32;média;295;FAZENDA CAROL I, II e III - Barragem II;Sorriso;Verde;16;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
306;32;média;20032;FAZENDA CASCATA;Sorriso;Verde;14;Não Classificado;Irrigação;6;8;não avaliado;0;0;2;15;15;0
307;32;média;20035;FAZENDA JABORANDI;Sorriso;Verde;15;Não Classificado;Irrigação;6;8;não avaliado;0;0;2;15;15;0
308;32;média;35608;FAZENDA JAÇANÃ - RESERVATÓRIO PULMÃO;Vera;Verde;15;Baixo;Irrigação;4;8;não avaliado;0;0;2;15;15;0
309;32;média;294;FAZENDA LUIZ EDUARDO I e II;Sorriso;Verde;14;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
310;32;média;305;FAZENDA MEU PEDAÇO;Sorriso;Verde;13;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
311;32;média;306;FAZENDA POTRICH;Sorriso;Verde;15;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
312;32;média;20036;FAZENDA RINCÃO FLORIDO;Ipiranga do Norte;Verde;14;Não Classificado;Irrigação;5;8;não avaliado;0;0;2;15;15;0
313;32;média;22043;FRANCÊS;Poconé;Amarelo;20;Médio;Contenção de rejeitos de mineração;0;2;não avaliado;0;15;10;0;7;0
314;32;média;8022;Faz. Bogorni;Ipiranga do Norte;Verde;13;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
315;32;média;7994;Faz. Cabeça Branca - Barragem 01;Nossa Senhora do Livramento;Verde;15;Baixo;Aquicultura;3;8;sim;0;0;2;15;15;0
316;32;média;20177;Faz. Carvalho;Nobres;Verde;16;Baixo;Aquicultura;6;8;sim;0;0;2;15;15;0
317;32;média;20214;Faz. Chapadão Verde;Sorriso;Verde;14;Não Classificado;Aquicultura;6;8;não avaliado;0;0;2;15;15;0
318;32;média;8009;Faz. Dona Leila - Reservatório 12;Rosário Oeste;Verde;15;Baixo;Aquicultura;3;8;sim;0;0;2;15;15;0
319;32;média;8010;Faz. Dona Leila - Reservatório 13;Rosário Oeste;Verde;15;Baixo;Aquicultura;3;8;sim;0;0;2;15;15;0
320;32;média;8024;Faz. Guarantã - Lotes 21, 22 e 23;Tapurah;Verde;14;Baixo;Irrigação;7;8;não avaliado;0;0;2;15;15;0
321;32;média;20078;Faz. Karnoski;Nova Mutum;Verde;14;Baixo;Aquicultura;8;8;não avaliado;0;0;2;15;15;0
322;32;média;8023;Faz. Mafra - Barragem 01;Nova Mutum;Verde;14;Baixo;Irrigação;3;8;não avaliado;0;0;2;15;15;0
323;32;média;8027;Faz. Mafra - Barragem 02;Nova Mutum;Verde;14;Baixo;Irrigação;3;8;não avaliado;0;0;2;15;15;0
324;32;média;8019;Faz. Mafra - Barragem 03;Nova Mutum;Verde;13;Baixo;Irrigação;4;8;não avaliado;0;0;2;15;15;0
325;32;média;20213;Faz. Mata Velha;Tapurah;Verde;14;Baixo;Irrigação;3;8;não avaliado;0;0;2;15;15;0
326;32;média;8039;Faz. Paraíso;Sorriso;Verde;13;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
327;32;média;8038;Faz. Pinheiros;Sorriso;Verde;14;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
328;32;média;8015;Faz. Porta do Céu;Nova Mutum;Verde;14;Baixo;Irrigação;3;8;não avaliado;0;0;2;15;15;0
329;32;média;8018;Faz. Propecus - Lagoa 02;Nova Mutum;Verde;14;Baixo;Irrigação;3;8;não avaliado;0;0;2;15;15;0
330;32;média;8020;Faz. Propecus - Lagoa 04;Nova Mutum;Verde;14;Baixo;Irrigação;3;8;não avaliado;0;0;2;15;15;0
331;32;média;19946;Faz. Toledo;Tapurah;Verde;15;Baixo;Irrigação;7;8;não avaliado;0;0;2;15;15;0
332;32;média;20077;Faz. Três Pinheiros;Santa Rita do Trivelato;Verde;13;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
333;32;média;36407;Fazenda Alegria - Reservatório Pulmão  I;Sorriso;Verde;14;Não Classificado;Irrigação;6;8;não avaliado;0;0;2;15;15;0
334;32;média;32150;Fazenda Alvorada III;Sinop;Verde;15;Baixo;Irrigação;3;8;não avaliado;0;0;2;15;15;0
335;32;média;20137;Fazenda Arara Azul;Itaúba;Verde;15;Baixo;Aquicultura;3;8;não avaliado;0;0;2;15;15;0
336;32;média;37452;Fazenda Atlântica - Araras;Vera;Verde;13;Baixo;Irrigação;4;8;não avaliado;0;0;2;15;15;0
337;32;média;335;Fazenda Barreiro;Sorriso;Verde;13;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
338;32;média;8054;Fazenda Bela Vista II;Vera;Verde;19;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
339;32;média;36499;Fazenda Buriti  - Barramento Montante 1;Nova Mutum;Verde;17;Baixo;Aquicultura;4;8;não avaliado;0;0;2;15;15;0
340;32;média;36498;Fazenda Buriti  - Barramento Principal;Nova Mutum;Verde;17;Baixo;Aquicultura;4;8;não avaliado;0;0;2;15;15;0
341;32;média;36500;Fazenda Buriti ? Barramento Montante 2;Nova Mutum;Verde;17;Baixo;Aquicultura;4;8;não avaliado;0;0;2;15;15;0
342;32;média;388;Fazenda Cabeceira;Ipiranga do Norte;Verde;15;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
343;32;média;36556;Fazenda Cachoeira II;Sorriso;Verde;13;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
344;32;média;32064;Fazenda Cafundó - Barramento I;Ipiranga do Norte;Verde;16;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
345;32;média;8046;Fazenda Capixaba;Sorriso;Verde;15;Médio;Aquicultura;6;8;não avaliado;0;0;2;15;15;0
346;32;média;8053;Fazenda Caravaggio;Sorriso;Verde;13;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
347;32;média;293;Fazenda Carol I, II e III - Barragem I;Sorriso;Verde;16;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
348;32;média;37519;Fazenda Confiança (Reservatório 1);Vera;Verde;15;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
349;32;média;37571;Fazenda Confiança (Reservatório 2);Vera;Verde;15;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
350;32;média;34760;Fazenda Cristo Rei I – Barramento 04;Tapurah;Verde;18;Baixo;Recreação;3;8;não avaliado;0;0;2;15;15;0
351;32;média;34751;Fazenda Cristo Rei I –Barramento 01;Tapurah;Verde;18;Baixo;Recreação;3;8;não avaliado;0;0;2;15;15;0
352;32;média;35147;Fazenda Curió - Barramento 3;Rosário Oeste;Verde;17;Baixo;Paisagismo;3;8;sim;0;0;2;15;15;0
353;32;média;35150;Fazenda Curió - Barramento I;Rosário Oeste;Verde;17;Médio;Paisagismo;3;8;sim;0;0;2;15;15;0
354;32;média;8040;Fazenda Córrego Grande;Sorriso;Verde;13;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
355;32;média;334;Fazenda Dal Molin V;Sorriso;Verde;13;Baixo;Irrigação;7;8;não avaliado;0;0;2;15;15;0
356;32;média;21903;Fazenda Del Mar;Sorriso;Verde;13;Baixo;Irrigação;6;8;não avaliado;0;0;2;15;15;0
357;32;média;5490;Fazenda Dona Leila - RESERVATÓRIO 1;Rosário Oeste;Verde;16;Baixo;Aquicultura;3;8;sim;0;0;2;15;15;0
358;32;média;20126;Fazenda Duas Nascentes;Ipiranga do Norte;Verde;15;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
359;32;média;26229;Fazenda Eduina Teresa;Sorriso;Verde;14;Baixo;Irrigação;5;8;não avaliado;0;0;2;15;15;0
