id_snisb;nome;municipio;raio_proxy_km;n_captacoes;n_escolas;n_ativos;servicos_essenciais_ameacados;captacao_ameacada;n_vias_malha;n_pontes;n_refs;isolamento_rodoviario;fonte
36690;Barragem II - Fazenda Pouso da Garça;Cuiabá;8.0;4;0;0;0;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
36691;Barragem III - Fazenda Pouso da Garça;Cuiabá;8.0;4;0;0;0;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
29377;Barragem MSJ;Cuiabá;8.0;2;1;0;1;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
8041;Barragem T04;Cuiabá;8.0;0;1;1;2;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26146;Barragem TB;Cuiabá;8.0;18;57;13;70;Captação principal de sede municipal ou única captação;4;4;4;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
31578;Barragem Taguá;Cuiabá;8.0;2;0;0;0;Captação principal de sede municipal ou única captação;2;1;2;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35023;Barramento - Mineração Casa de Pedra;Cuiabá;8.0;0;1;1;2;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
33960;Barramento 1 - Mangaba Urbanismo LTDA;Cuiabá;8.0;4;0;0;0;Captação principal de sede municipal ou única captação;3;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
36517;Barramento 2 (Montante);Cuiabá;8.0;5;1;0;1;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
33355;Barramento 2 - Mangaba Urbanismo LTDA;Cuiabá;8.0;4;0;0;0;Captação principal de sede municipal ou única captação;3;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
36516;Barramento 3;Cuiabá;8.0;5;1;1;2;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35136;Barramento 4;Cuiabá;8.0;5;1;1;2;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35182;Barramento 5;Cuiabá;8.0;5;1;1;2;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35181;Barramento 6;Cuiabá;8.0;5;1;1;2;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35180;Barramento 7;Cuiabá;8.0;5;1;1;2;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35027;Barramento ? Fazenda Jardim;Cuiabá;8.0;1;0;0;0;Captação principal de sede municipal ou única captação;1;0;1;Rota única com desvio precário;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20211;CASA DE PEDRA;Cuiabá;8.0;0;1;1;2;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34834;CGH Guimarães 02 - Guimarães 2;Cuiabá;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
19991;FAZENDA LUAR;Cuiabá;8.0;0;1;2;3;Nenhuma;1;0;1;Rota única com desvio precário;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20754;Fazenda 3 irmãos;Cuiabá;8.0;3;0;1;1;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
36550;Fazenda Formosa;Cuiabá;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26534;Fazenda KM;Cuiabá;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
27954;Lago Recreativo Cuiabá;Cuiabá;8.94;2;1;0;1;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
31620;Loteamento Brisas do Campo;Cuiabá;8.0;4;14;4;18;Captação principal de sede municipal ou única captação;4;4;4;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
32445;Mangaba e Aterrado;Cuiabá;8.0;4;1;0;1;Captação principal de sede municipal ou única captação;3;2;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
4594;PCH São Tadeu I - São Tadeu I;Cuiabá;10.39;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
27623;PURO OURO;Cuiabá;8.0;0;1;1;2;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
32261;Represa da Estrada;Cuiabá;8.0;3;0;1;1;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
31286;Reservatório  B1;Cuiabá;8.0;2;1;0;1;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
31954;SS RANCH;Cuiabá;8.0;2;0;0;0;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
36582;Árica;Cuiabá;11.83;0;1;1;2;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26131;BARRAGEM JVR;Cuiabá;9.11;25;125;27;152;Captação principal de sede municipal ou única captação;7;7;6;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
5794;BARRAGEM T02;Cuiabá;9.59;0;1;1;2;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26138;Barragem Serrinha;Cuiabá;8.0;20;39;6;45;Captação principal de sede municipal ou única captação;3;3;3;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34857;Barragem I Jangada Agropastoril;Jangada;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35231;Fazenda Jangada Agropastoril - Barragem a montante;Jangada;8.0;1;2;1;3;Sistema isolado ou rural;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35229;Fazenda Jangada Agropastoril II - Barragem Principal;Jangada;8.0;1;2;1;3;Sistema isolado ou rural;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20177;Faz. Carvalho;Nobres;8.0;2;0;0;0;Sistema isolado ou rural;2;1;2;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
4224;UHE Manso - Dique 1;Nobres;34.17;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35637;BA-01;Nossa Senhora do Livramento;8.0;1;0;0;0;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
1267;BACIA DE REJEITO MINERGOLD;Nossa Senhora do Livramento;8.0;1;0;0;0;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26235;BARRAGEM COOP 01;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
27620;BARRAGEM DE MINERAÇÃO;Nossa Senhora do Livramento;8.0;1;1;0;1;Sistema isolado ou rural;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34483;BARRAGEM MANAH 1;Nossa Senhora do Livramento;8.6;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26240;BP-01;Nossa Senhora do Livramento;8.0;22;7;3;10;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26241;BP-02;Nossa Senhora do Livramento;8.0;20;5;3;8;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
