id_snisb;nome;municipio_sede;tem_pae;tem_mancha_zas;fonte_geometria;caminho_geojson;observacao
31990;1A;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
31977;2B;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
21862;BONANZA;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
31551;Barragem 07 - Fazenda Zeniiti III;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
37352;Barragem I - Fazenda Mariana II;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
37353;Barragem II - Fazenda Mariana II;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
34585;Barramento - Fazenda Cristalino III;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
35005;Barramento - Fazenda Tropeiro Velho IV e V;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
35118;Barramento 05 - Fazenda Zeniiti III;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
35110;Barramento 10 - Fazenda Zeniiti III;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
35113;Barramento 12 - fazenda Zeniiti III;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
34519;Barramento 15 - Fazenda Zeniiti III;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
34520;Barramento 16 - Montante;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
34521;Barramento 17 (montante) - Fazenda Zeniiti III;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
34522;Barramento 18 (montante) - Fazenda Zeniiti III;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
36669;Chácara Esteio ? Barramento 02;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
31748;Fazenda Agrocondor II;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
35098;Fazenda Zeniiti III (Barramento 6);Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
31920;Fazenda Zeniiti III - Barramento 4;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
34468;Fazenda Zeniiti III – Barramento 05;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
4925;PCH Cabeça de Boi - Cabeça de Boi;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
5159;PCH Da Fazenda - Da Fazenda;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
20131;PRINCIPAL 2A;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
339;Refugio dos Pardais;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
333;Sítio São Judas Tadeu;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
20130;barramento 1B;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
20132;barramento 4;Alta Floresta;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
31228;Barragem na Fazenda dos Sonhos;Alto Araguaia;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
24104;CGH Alto Garças - ALTO GARÇAS;Alto Araguaia;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
24105;CGH Araguaia - ARAGUAIA;Alto Araguaia;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
24106;CGH Araguainha - ARAGUAINHA;Alto Araguaia;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
4564;PCH Alto Araguaia - Alto Araguaia;Alto Araguaia;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
36649;Barragem I - Fazenda Água Cristalina;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22390;Massa d'Água #100513;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22392;Massa d'Água #101453;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22395;Massa d'Água #102961;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22421;Massa d'Água #111714;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22422;Massa d'Água #111848;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22468;Massa d'Água #129111;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22469;Massa d'Água #129310;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22488;Massa d'Água #137078;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22492;Massa d'Água #137918;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22496;Massa d'Água #138439;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22500;Massa d'Água #139738;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22502;Massa d'Água #140018;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22513;Massa d'Água #143022;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22519;Massa d'Água #144145;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22551;Massa d'Água #150115;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22564;Massa d'Água #151821;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
22565;Massa d'Água #151852;Alto Boa Vista;desconhecido;não;;;Aguardando mancha oficial — não usar proxy sem rótulo
