codigo_cnes;nome_fantasia;nome_razao_social;codigo_municipio;municipio;no_eixo_montante;no_eixo_jusante;bairro_estabelecimento;endereco_estabelecimento;descricao_esfera_administrativa;descricao_nivel_hierarquia;descricao_turno_atendimento;codigo_tipo_unidade;tipo_gestao;atendimento_hospitalar;atendimento_ambulatorial;ambulatorial_sus;centro_cirurgico;centro_obstetrico;centro_neonatal;servico_apoio;latitude;longitude;numero_telefone_estabelecimento;data_atualizacao;origem_coleta
9792732;FARMACIA BASICA;MUNICIPIO DE ACORIZAL;510010;Acorizal;Sim;Não;CENTRO;AV HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;43;M;;Não;SIM;;;;Não;-15.199636;-56.366027;;2025-09-03;eixo_cuiaba
8297177;DROGARIA ACORIZAL;DROGARIA ACORIZAL LTDA;510010;Acorizal;Sim;Não;CENTRO;AVENIDA HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;43;M;Não;Não;NAO;Não;Não;Não;Sim;-15.19913;-56.36823;;2026-06-16;eixo_cuiaba
8301816;CONCESIONARIA ROTA DO OESTE SAU 09;CONCESIONARIA ROTA DO OESTE S A;510010;Acorizal;Sim;Não;ZONA RURAL;RODOVIA BR 364 KM 487;MUNICIPAL;;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);42;M;;Não;NAO;;;;Sim;-15.2765429;-56.442701;;2026-06-16;eixo_cuiaba
2390981;CENTRO DE SAUDE DE ACORIZAL;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;CENTRO;AVN HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;2;M;Não;Não;SIM;Não;Não;Não;Sim;-15.19972;-56.36567;(65)33531226;2025-09-03;eixo_cuiaba
2391007;POSTO DE SAUDE DE CHAPEU DE SOL;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;ZONA RURAL;CHAPEU DE SOL;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;-15.056223;-56.32548;(65)03531226;2025-09-03;eixo_cuiaba
2391015;POSTO DE SAUDE DE BAUS;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;ZONA RURAL;BAUS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;-15.235251;-56.295097;65 33531226;2025-09-03;eixo_cuiaba
2391023;POSTO DE SAUDE DE ENGENHO;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;ZONA RURAL;ENGENHO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;-15.155809;-56.414213;(65)03531226;2025-09-03;eixo_cuiaba
2854279;SORRIR MAIS CONSULTORIO ODONTOLOGICO;CONSULTORIO ODONTOLOGICO SORRIR MAIS LTDA;510010;Acorizal;Sim;Não;CENTRO;AV HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Sim;-15.2005024;-56.364259;;2026-03-17;eixo_cuiaba
3049167;UDR ACORIZAL IRINEU JOSE DE ARRUDA;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;CENTRO;AV HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;SIM;Não;Não;Não;Sim;-15.19983;-56.36557;(65) 3531226;2025-09-03;eixo_cuiaba
5286158;DROGARIA FARMALIDER;DROGARIA FARMALIDER LTDA;510010;Acorizal;Sim;Não;CENTRO;HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;43;M;Não;Não;NAO;Não;Não;Não;Sim;-15.199245239273816;-56.36793443899205;65 36826688;2025-09-03;eixo_cuiaba
6467067;SECRETARIA MUNICIPAL DE SAUDE DE ACORIZAL;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;CENTRO;AV HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;68;M;;Não;SIM;;;;Sim;-15.200056;-56.365951;(65) 3353-1341;2025-09-03;eixo_cuiaba
7355777;LABORATORIO MUNICIPAL DE ACORIZAL;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;CENTRO;AV HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;39;M;Não;Não;SIM;Não;Não;Não;Sim;-15.199678;-56.365937;(65)33531341;2025-09-03;eixo_cuiaba
7855532;CENTRAL DE REGULACAO ACORIZAL;PREFEITURA MUNICIPAL DE ACORIZAL;510010;Acorizal;Sim;Não;CENTRO;AVENIDA HONORATO PEDROSO DE BARROS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;81;M;;Não;NAO;;;;Não;-15.200297157575555;-56.36382222175598;6533241081;2025-09-03;eixo_cuiaba
9906584;FARMACIA BASICA;MUNICIPIO DE BARAO DE MELGACO;510160;Barão de Melgaço;Não;Sim;CENTRO;RUA ALIPIO DUARTE;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;43;M;Não;Não;SIM;Não;Não;Não;Sim;-16.199056036522506;-55.967724323272705;;2025-09-03;eixo_cuiaba
4877160;LABORATORIO LPC;A L BORBA;510160;Barão de Melgaço;Não;Sim;CENTRO;RUA ESTEVAO DE MENDONCA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;39;M;;Não;SIM;;;;Não;-16.196440529495693;-55.96741780092451;65-993596116;2025-09-23;eixo_cuiaba
8197326;DROGARIA PRECO BAIXO;D A M GONCALVES;510160;Barão de Melgaço;Não;Sim;CENTRO;MARECHAL RONDON;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;43;M;;Não;NAO;;;;Sim;-16.196436;-55.966766;65999575803;2026-04-16;eixo_cuiaba
2390663;UDR EDGAR MARQUES DA SILVA;PREFEITURA MUNICIPAL DE BARAO DE MELGACO;510160;Barão de Melgaço;Não;Sim;CENTRO;RUA MARECHAL RONDON;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;SIM;Não;Não;Não;Não;-16.195576207148292;-55.966013073921204;;2025-09-03;eixo_cuiaba
2391309;CENTRO DE SAUDE DA FAMILIA BARAO DE MELGACO PSF URBANO;PREFEITURA MUNICIPAL DE BARAO DO MELGACO;510160;Barão de Melgaço;Não;Sim;CENTRO;RUA ALIPIO DUARTE;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;2;M;Não;Não;SIM;Não;Não;Não;Sim;-16.199159065323954;-55.96804618835449;(65)03311155;2025-09-03;eixo_cuiaba
2391317;POSTO DE SAUDE DE CAPOEIRINHA;PREFEITURA MUNICIPACL DE BARAO DE MELGACO;510160;Barão de Melgaço;Não;Sim;ZONA RURAL;CAPOEIRINHA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;-16.469011702048046;-55.93963623046875;;2025-09-03;eixo_cuiaba
2391325;UNIDADE DE SAUDE DA FAMILIA DE JOSELANDIA PSF RURAL;PREFEITURA MUNICIPAL DE BARAO DO MELGACO;510160;Barão de Melgaço;Não;Sim;JOSELANDIA;SAO PEDRO DE JOSELANDIA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;2;M;Não;Não;SIM;Não;Não;Não;Sim;-16.547025217796605;-56.16193771362305;;2025-09-03;eixo_cuiaba
2391333;POSTO DE SAUDE DE PORTO BRANDAO;PREFEITURA MUNICIPAL DE BARAO DO MELGACO;510160;Barão de Melgaço;Não;Sim;PORTO BRANDAO;PORTO BRANDAO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;SIM;Não;Não;Não;Não;-16.296579564556815;-55.9669303894043;;2025-09-03;eixo_cuiaba
2391341;POSTO DE SAUDE PIRIGARA;PREFEITURA MUNICIPAL DE BARAO DO MELGACO;510160;Barão de Melgaço;Não;Sim;PIRIGARA;PIRAGARA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;;;;2025-09-03;eixo_cuiaba
2391376;POSTO DE SAUDE DE ESTIRAO COMPRIDO;PREFEITURA MUNICIPAL DE BARAO DO MELGACO;510160;Barão de Melgaço;Não;Sim;ESTIRAO COMPRIDO;ESTIRAO COMPRIDO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;;;;2025-09-03;eixo_cuiaba
2391384;POSTO DE SAUDE DE VILA RECREIO;PREFEITURA MUNICIPAL DE BARAO DO MELGACO;510160;Barão de Melgaço;Não;Sim;CENTRO;EUGENIO DA SILVA TAQUES;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;-16.194007559326394;-55.94830513000488;;2025-09-03;eixo_cuiaba
2391392;PRONTO ATENDIMENTO BARAO DE MELGACO;PREFEITURA MUNICIPAL DE BARAO DO MELGACO;510160;Barão de Melgaço;Não;Sim;CENTRO;AV AUGUSTO LEVERGER;MUNICIPAL;;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);73;M;Sim;Sim;SIM;Não;Sim;Não;Sim;-16.194646353376697;-55.967702865600586;;2025-09-03;eixo_cuiaba
2571331;SECRETARIA MUNICIPAL DE SAUDE DE BARAO DE MELGACO;PREFEITURA MUNICIPAL DE BARAO DE MELGACO;510160;Barão de Melgaço;Não;Sim;CENTRO;RUA EUGENIO FIGUEIREDO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;68;M;Não;Não;SIM;Não;Não;Não;Não;-16.194751960258355;-55.96765726804733;65 3331 1233;2025-09-03;eixo_cuiaba
2699400;POSTO DE SAUDE MUCAMBO;PREFEITURA MUNICOPAL DE BARAO DE MELGACO;510160;Barão de Melgaço;Não;Sim;ZONA RURAL;MUCAMBO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;;;;2025-09-03;eixo_cuiaba
2699427;POSTO DE SAUDE PIMENTEIRA;PREFEITUTA MUNICIPAL DE BARAO DE MELGACO;510160;Barão de Melgaço;Não;Sim;ZONA RURAL;PIMENTEIRA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;;;;2025-09-03;eixo_cuiaba
2699702;POSTO DE SAUDE BOCA DAS CONCHAS;PREFEITURA MUNICIPAL DE BARAO DE MELGACO;510160;Barão de Melgaço;Não;Sim;ZONA RURAL;BOCA DAS CONCHAS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;;;;2025-09-03;eixo_cuiaba
4270940;CENTRO DE IMUNIZACAO UBSI ALDEIA PERIGARA;DISTRITO SANITARIO ESPECIAL INDIGENA CUIABA;510160;Barão de Melgaço;Não;Sim;ZONA RURAL;PANTANAL;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;85;M;Não;Não;SIM;Não;Não;Não;Não;-16.86106245852951;-56.19781494140625;;2025-09-03;eixo_cuiaba
4865316;DROGARIA CONFIANCA;J C LEITE JUNIOR DROGARIA;510160;Barão de Melgaço;Não;Sim;CENTRO;ESTEVAO DE MENDONCA;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;43;M;;Não;NAO;;;;Sim;-16.195494;-55.966526;65 3311345;2025-09-03;eixo_cuiaba
7044402;LABORATORIO MUNICIPAL DE BARAO DE MELGACO;PREFEITURA MUNICIPAL DE BARAO DE MELGACO;510160;Barão de Melgaço;Não;Sim;CENTRO;RUA MARECHAL RONDON;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;80;M;Não;Não;SIM;Não;Não;Não;Não;-16.19559423751051;-55.96603184938431;6533311171;2025-09-03;eixo_cuiaba
7366647;CENTRAL DE REGULACAO DE BARAO DE MELGACO;PREFEITURA MUNICIPAL DE BARAO DE MELGACO;510160;Barão de Melgaço;Não;Sim;CENTRO;AV AUGUSTO LEVERGER;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;81;M;;Não;SIM;;;;Não;-16.194821506222723;-55.96786379814148;6533311233;2025-09-03;eixo_cuiaba
7795939;UNIDADE BASICA DE SAUDE INDIGENA PERIGARA;DISTRITO SANITARIO ESPECIAL INDIGENA CUIABA;510160;Barão de Melgaço;Não;Sim;ZONA RURAL;PANTANAL;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;72;M;Não;Não;NAO;Não;Não;Não;Sim;-16.920933685516673;-56.226396560668945;;2025-09-03;eixo_cuiaba
9288503;LABVITTA;LABORATORIO DE ANALISES CLINICAS LABVITTA LTDA ME;510160;Barão de Melgaço;Não;Sim;CENTRO;R TRAVESSA DA IGREJINHA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;39;M;;Não;NAO;;;;Não;-16.19455877689538;-55.96538543701172;66996289955;2025-09-03;eixo_cuiaba
9415165;UNIDADE DE SAUDE DA FAMILIA RIBEIRINHO;PREFEITURA MUNICIPAL DE BARAO DE MELGACO;510160;Barão de Melgaço;Não;Sim;CENTRO;RUA ALIPIO DUARTE;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;2;M;Não;Não;SIM;Não;Não;Não;Sim;-16.199205428267042;-55.96785843372345;;2025-09-03;eixo_cuiaba
9663754;LABORATORIO BIOCENTER ANALISES CLINICAS;KLOCK E LARA DIAGNOSTICO LABORATORIAL EIRELI;510300;Chapada dos Guimarães;Não;Não;CENTRO;RUA SANTO ANTONIO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;39;M;Não;Não;SIM;Não;Não;Não;Não;-15.464103;-55.747547;;2025-09-03;estadual
552283;GRANJIMMY CENTRO DE TRATAMENTO;GRANJIMMY UNIDADE DE PRONTO ATENDIMENTO EM SAUDE MENTAL LTDA;510300;Chapada dos Guimarães;Não;Não;ALDEIA VELHA;EMANUEL PINHEIRO;MUNICIPAL;;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);21;M;Não;Sim;NAO;Não;Não;Não;Sim;-15.43911965871689;-55.77110767364502;65 96885508;2026-07-21;estadual
9752714;SOLARES CENTRO DE RECUPERACAO;JULIO RODRIGUES DO NASCIMENTO NETO;510300;Chapada dos Guimarães;Não;Não;ALDEIA VELHA;ROD 251;MUNICIPAL;;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);36;M;Não;Não;NAO;Não;Não;Não;Sim;-15.451526;-55.752529;(65) 3301-1887;2025-09-03;estadual
9828958;UPA 24 H FREI OSVALDO CHAPADA DOS GUIMARAES;MUNICIPIO DE CHAPADA DOS GUIMARAES;510300;Chapada dos Guimarães;Não;Não;SANTA CRUZ;AVENIDA F;MUNICIPAL;;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);73;M;Não;Não;SIM;Não;Não;Não;Sim;-15.463424164370833;-55.739559737265914;(65)996393109;2025-09-03;estadual
4570561;UNICA CLINICA MEDICA E TERAPIAS PARA SAUDE HUMANA;UNICA CLINICA INTERDISCIPLINAR E INTERVECAO ABA LTDA;510300;Chapada dos Guimarães;Não;Não;SAO SEBASTIAO;R RUA DAS PALMEIRAS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.4670552;-55.7353103;(65) 9645-9023;2025-09-11;estadual
8179352;KORPUS CENTRO DE FISIOTERAPIA E ESPECIALIDADES MEDICAS;KORPUS CENTRO DE FISIOTERAPIA E ESPECIALIDADES MEDICAS LTDA;510300;Chapada dos Guimarães;Não;Não;ALTOS DOS MIRANTES;R DOS ARICAS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;NAO;Não;Não;Não;Não;-15.466419880216211;-55.73814868927002;(65) 8142-2356;2026-06-23;estadual
637343;COMPLEXO DE ATENDIMENTO AO COVID 19;COMPLEXO DE ATENDIMENTO AO COVID 19;510300;Chapada dos Guimarães;Não;Não;SANTA CRUZ;RUA VEREADOR DE SOUZA NEVES;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;2;M;Não;Não;NAO;Não;Não;Não;Não;-15.462103;-55.737638;;2025-09-03;estadual
8218587;ORAL SIN IMPLANTES;BIANCA G PORELLI LTDA;510300;Chapada dos Guimarães;Não;Não;CENTRO;R FERNANDO CORREA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.459078128730495;-55.746774673461914;(66) 9661-3160;2026-04-16;estadual
8304815;VIEIRA ODONTOLOGIA AVANCADA;VIEIRA ODONTOLOGIA AVANCADA LTDA;510300;Chapada dos Guimarães;Não;Não;CENTRO;CIPRIANO CURVO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.457878606575033;-55.748019218444824;65 92717211;2026-06-16;estadual
5393302;GRANJIMMY UNID DE TRATAMENTO CONTINUADO EM SAUDE MENTAL;GRANJIMMY UNIDADE DE TRATAMENTO CONTINUADO EM SAUDE MENTAL L;510300;Chapada dos Guimarães;Não;Não;ALDEIA VELHA;EMANUEL PINHEIRO;MUNICIPAL;;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);36;M;Não;Não;NAO;Não;Não;Não;Não;-15.449461074751547;-55.75355529785156;65 96885508;2026-06-23;estadual
7913214;ROSA DE SARON CENTRO DE TRATAMENTO FEMININO;GRANJIMMY UNIDADE DE TRATAMENTO CONTINUADO EM SAUDE MENTAL F;510300;Chapada dos Guimarães;Não;Não;JARDIM ACLIMACAO;DAS HORTENSIAS;MUNICIPAL;;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);36;M;Não;Não;NAO;Não;Não;Não;Não;-15.46038105009942;-55.73930740356445;65 33011451;2026-06-23;estadual
8286574;NATU FARMA FARMACIA E DROGARIA;NATU FARMA FARMACIA E DROGARIA LTDA;510300;Chapada dos Guimarães;Não;Não;CENTRO;R DR PENN GOMES;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;43;M;;Não;NAO;;;;Não;-15.460319006410517;-55.74962854385376;(65) 9222-3333;2026-07-15;estadual
8304793;CLINICA MAGNOLIGA;MAGNOLIA CLINICA DE SAUDE E TERAPIAS LTDA;510300;Chapada dos Guimarães;Não;Não;SAO SEBASTIAO;DAS PALMEIRAS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;NAO;Não;Não;Não;Não;-15.467743435893045;-55.73540210723877;65 92511124;2026-07-23;estadual
698725;ACADEMIA DA SAUDE DE CHAPADA DOS GUIMARAES;ACADEMIA DA SAUDE DE CHAPADA DOS GUIMARAES;510300;Chapada dos Guimarães;Não;Não;SAO SEBASTIAO;AVENIDA SAO SEBASTIAO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;74;M;Não;Não;NAO;Não;Não;Não;Sim;-15.466051;-55.736727;;2025-09-03;estadual
9696326;CLINICA ESPECIALIZADA VIDA SERENA PREMIER SAUDE MENTAL;VIDA SERENA PREMIER CLINICA HOSPITALAR ESPECIALIZADA LTDA;510300;Chapada dos Guimarães;Não;Não;JARDIM MIRAFLORES;AV DAS FLORES;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;7;M;Não;Sim;NAO;Não;Não;Não;Sim;-15.469441;-55.744306;(65) 992664636;2026-03-17;estadual
2390604;UNIDADE DE SAUDE DA FAMILIA AGUA FRIA;PREFEITURA MUNICIPAL DE CHAPADA DOS GUIMARAES;510300;Chapada dos Guimarães;Não;Não;AGUA FRIA;AV PRINCIPAL;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;2;M;Não;Não;SIM;Não;Não;Não;Sim;-15.105114;-55.450425;(65)33011929;2025-09-03;estadual
2390612;UNIDADE DA SAUDE DA FAMILIA OLHO D AGUA;PREFEITURA MUNICIPAL DE CHAPADA DOS GUIMARAES;510300;Chapada dos Guimarães;Não;Não;VALE DA CHAPADA;RUA DO JASMIM;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;2;M;Não;Não;SIM;Não;Não;Não;Não;-15.46058786226154;-55.7501220703125;;2025-09-03;estadual
2390620;CENTRO DE SAUDE MATA GRANDE;PREFEITURA MUNICIPAL DE CHAPADA DOS GUIMARAES;510300;Chapada dos Guimarães;Não;Não;ZONA RURAL;MATA GRANDE;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;2;M;Não;Não;SIM;Não;Não;Não;Não;-15.213533;-55.272999;( );2025-09-03;estadual
2390639;POSTO DE SAUDE ALDEIA VELHA;PREFEITURA MUNICIPAL DE CHAPADA DOS GUIMARAES;510300;Chapada dos Guimarães;Não;Não;ALDEIA VELHA;RUA DOS COROADOS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;-15.443043;-55.759204;(65)03012337;2025-09-03;estadual
2390647;HOSPITAL DOM OSVALDO;PREFEITURA MUNICIPAL DE CHAPADA DOS GUIMARAES;510300;Chapada dos Guimarães;Não;Não;SANTA CRUZ;RUA E;MUNICIPAL;;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);5;M;Não;Sim;SIM;Não;Não;Não;Sim;-15.464202;-55.73724;(65)33011116;2025-09-03;estadual
2390655;POSTO DE SAUDE RIO DA CASCA;PREFEITURA MUNICIPAL DE CHAPADA DOS GUIMARAES;510300;Chapada dos Guimarães;Não;Não;CASCA;AVENIDA PRINCIPAL;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;1;M;Não;Não;NAO;Não;Não;Não;Não;-15.221557;-55.272205;;2025-09-03;estadual
2390671;UNIDADE DA SAUDE DA FAMILIA CENTRO;PREFEITURA MUNICIPAL DE CHAPADA DOS GUIMARAES;510300;Chapada dos Guimarães;Não;Não;CENTRO;RUA HOMERO MOUSSER;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;2;M;Não;Não;SIM;Não;Não;Não;Não;-15.461994179488217;-55.749773383140564;;2025-09-03;estadual
2390701;UNIDADE DE REABILITACAO FREI OSVALDO;PREFEITURA MUNICIPAL DE CHAPADA DOS GUIMARAES;510300;Chapada dos Guimarães;Não;Não;SAO SEBASTIAO;AVENIDA PRINCIPAL;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;SIM;Não;Não;Não;Sim;-15.466295796437773;-55.73683977127075;;2025-09-03;estadual
2767333;UNIDADE DE SAUDE DA FAMILIA JOAO CARRO;PREFEITURA MUNICIPAL DE CHAPADA DOS GUIMARAES;510300;Chapada dos Guimarães;Não;Não;JOAO CARRO;COMUNIDADE;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;2;M;Não;Não;SIM;Não;Não;Não;Não;-15.051112;-55.392988;;2025-09-03;estadual
4088298;MASCARROZ CLINICA E AVALIACAO DE PSICOLOGIA LTDA;MASCARROZ CLINICA E AVALIACAO DE PSICOLOGIA LTDA;510300;Chapada dos Guimarães;Não;Não;CENTRO;RUA DR PENN GOMES;MUNICIPAL;;ATENDIMENTO COM TURNOS INTERMITENTES;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.466668;-55.745379;;2025-09-03;estadual
4106857;HARMONIZE ODONTOLOGIA E ESTETICA OROFACIAL;V M GRANGEIRO;510300;Chapada dos Guimarães;Não;Não;CENTRO;R GOV FERNANDO CORREA DA COSTA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.466233;-55.745916;65993355376;2025-09-03;estadual
4178599;CLINICA HOMEOPED;L A DIONELLO;510300;Chapada dos Guimarães;Não;Não;CENTRO;AV HOMERO MOUSER;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.461001485966346;-55.75209617614746;(69) 99207766;2026-06-23;estadual
4565177;CLINICA FRATARI;LEONARDO CALDAS FRATARI CIA LTDA;510300;Chapada dos Guimarães;Não;Não;CENTRO;R GOVERNADOR FERNANDO CORREA DA COSTA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.461875434613589;-55.74991483068867;65 3624-4254;2025-09-03;estadual
4842065;DROGARIA FAVO DE MEL;DROGARIA FAVO DE MEL LTDA;510300;Chapada dos Guimarães;Não;Não;SAO SEBASTIAO;R SAO SEBASTIAO;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;43;M;;Não;NAO;;;;Sim;-15.47283;-55.732548;(65) 9340-9743;2025-09-03;estadual
4876504;DROGARIA MARANATA;DROGARIA MARANATA LTDA;510300;Chapada dos Guimarães;Não;Não;CENTRO;R BISPO DOM WUNIBALDO;MUNICIPAL;;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);43;M;;Não;NAO;;;;Não;-15.466026;-55.742182;(65) 9274-4033;2025-09-03;estadual
4945220;NATU FARMA FARMACIA E DROGARIA LTDA;NATU FARMA FARMACIA E DROGARIA LTDA;510300;Chapada dos Guimarães;Não;Não;ALTOS DO MIRANTE;R ARICA;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;43;M;;Não;NAO;;;;Não;-15.46633;-55.738273;(65) 9222-3333;2025-09-03;estadual
4976665;ESPACO POTENCIALIZE;CLINICA DE PSICOLOGIA ESPACO POTENCIALIZE ESPECIALIZADA EM A;510300;Chapada dos Guimarães;Não;Não;CENTRO;R MANECO ALBERNAZ;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.461932;-55.735745;65 9212-4141;2025-09-03;estadual
