categoria;nome;municipio;distancia_eixo_km;faixa;segmento_do_eixo;familias;hospitalar;detalhe;longitude;latitude
estabelecimento de saúde;NEW SKIN FISIOTERAPAI E ESTETICA;Cuiabá;1.44;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.076835;-15.621363
estabelecimento de saúde;BG FONOAUDIOLOGIA E ORTOPEDIA;Cuiabá;1.45;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.104809;-15.604151
estabelecimento de saúde;DANILO ZANIRATO;Cuiabá;1.45;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.120158;-15.578526
estabelecimento de saúde;HAROLDO CABRAL;Cuiabá;1.45;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.080075;-15.619135
estabelecimento de saúde;ELIZANGELA SOCORRO DE OLIVEIRA;Cuiabá;1.45;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.12016;-15.578471
estabelecimento de saúde;CENTRAL DO DENTE;Várzea Grande;1.45;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.127384;-15.643085
estabelecimento de saúde;L P C LABORATORIO DE PATOLOGIA CLINICA;Cuiabá;1.46;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.099969;-15.605116
estabelecimento de saúde;LBC LABORATORIO BIO CENTER;Cuiabá;1.46;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.101804;-15.604508
estabelecimento de saúde;ANGELA APARECIDA SIQUINELLI;Cuiabá;1.46;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.102111;-15.604439
estabelecimento de saúde;PRONTO CLINICA HOME CARE;Cuiabá;1.46;até 2 km;manso_capital;;;sem atendimento hospitalar;-56.121309;-15.58822
estabelecimento de saúde;ODONTO CARE;Cuiabá;1.46;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103723;-15.604174
estabelecimento de saúde;CARLOS AUGUSTO CARRETONI VAZ;Cuiabá;1.47;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.101763;-15.604487
estabelecimento de saúde;CLINICA ODODNTOLOGICA REGINA YATSUDA;Cuiabá;1.47;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103619;-15.604147
estabelecimento de saúde;DROGA GERAL;Cuiabá;1.47;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.101293;-15.604602
estabelecimento de saúde;MACHADO SAUDE LTDA;Cuiabá;1.47;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.119819;-15.582688
estabelecimento de saúde;STANLEYS HAIR CUIABA LTDA;Cuiabá;1.47;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.0945;-15.608225
estabelecimento de saúde;ALFREDO AUGUSTO DE ARRUDA;Cuiabá;1.47;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.101767;-15.604478
estabelecimento de saúde;CLINER;Cuiabá;1.47;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.104284;-15.604023
estabelecimento de saúde;CLINICOR;Cuiabá;1.47;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.101814;-15.604486
estabelecimento de saúde;CLINICA ARTUS ORTOPEDIA;Cuiabá;1.47;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.119858;-15.582774
estabelecimento de saúde;CLINICA FAROL INTERVENCOES COMPORTAMENTAIS;Várzea Grande;1.47;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.090723;-15.645967
estabelecimento de saúde;TRANSFORMARE DESENVOLVIMENTO HUMANO LTDA;Cuiabá;1.48;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.112646;-15.60489
estabelecimento de saúde;INTEGRARIS CENTRO DE DES INFANTIL ESP INT SENSORIAL;Cuiabá;1.48;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.105963;-15.603817
estabelecimento de saúde;BRINCAR PSICOMOTOR;Cuiabá;1.48;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.105963;-15.603817
estabelecimento de saúde;MAMA VIE;Cuiabá;1.48;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.122026;-15.589769
estabelecimento de saúde;BUCOMAXILO;Cuiabá;1.48;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.105861;-15.603833
estabelecimento de saúde;CAROLINA PINHEIRO RAMAZOTI;Cuiabá;1.48;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.104323;-15.603971
estabelecimento de saúde;DERLY DE JESUS RODRIGUES CARDOZO;Cuiabá;1.48;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.104357;-15.603985
estabelecimento de saúde;CENTRO ODONTOLOGICO PERSONAL;Cuiabá;1.49;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.080035;-15.618728
estabelecimento de saúde;ITC;Cuiabá;1.49;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.101095;-15.604437
estabelecimento de saúde;CLIRMEF;Cuiabá;1.49;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.104483;-15.603852
estabelecimento de saúde;URSULA MICHELE PAITACH BATISTELLA;Cuiabá;1.49;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103694;-15.603971
estabelecimento de saúde;GM MOUSSALEM;Cuiabá;1.5;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.12168;-15.610854
estabelecimento de saúde;ANGIOMEDIC;Cuiabá;1.5;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103441;-15.603831
estabelecimento de saúde;ELITA BATISTA NEVES;Cuiabá;1.51;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103539;-15.603726
estabelecimento de saúde;MARCOS AGOSTINHO;Cuiabá;1.51;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103466;-15.603767
estabelecimento de saúde;ANDREIA CORREA PSIQUE;Cuiabá;1.51;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103486;-15.603796
estabelecimento de saúde;USF JARDIM INDEPENDENCIA;Cuiabá;1.51;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.120054;-15.609404
estabelecimento de saúde;LUCIANA FREITAS SOARES;Cuiabá;1.51;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103535;-15.603772
estabelecimento de saúde;FALACLIN;Cuiabá;1.51;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103539;-15.603734
estabelecimento de saúde;IGPA SERVICOS MEDICOS;Cuiabá;1.51;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.10348;-15.603754
