id_snisb;nome_barragem;municipio_sede;municipio_potencialmente_afetado;codigo_trecho_barragem;codigo_secao_controle_afetado;relacao_otto;idap;nivel;dano_potencial_associado
20618;PCH Casca II - B02 - Ponte Alta;Chapada dos Guimarães;Várzea Grande;89694;89657182;montante;14;Amarelo;Baixo
20617;PCH Casca III - Casca III;Chapada dos Guimarães;Cuiabá;89694;896573;montante;17;Amarelo;Baixo
20617;PCH Casca III - Casca III;Chapada dos Guimarães;Jangada;89694;89658;montante;17;Amarelo;Baixo
20617;PCH Casca III - Casca III;Chapada dos Guimarães;Nossa Senhora do Livramento;89694;89657184;montante;17;Amarelo;Baixo
20617;PCH Casca III - Casca III;Chapada dos Guimarães;Rosário Oeste;89694;8965932;montante;17;Amarelo;Baixo
20617;PCH Casca III - Casca III;Chapada dos Guimarães;Santo Antônio de Leverger;89694;896544;montante;17;Amarelo;Baixo
20617;PCH Casca III - Casca III;Chapada dos Guimarães;Várzea Grande;89694;89657182;montante;17;Amarelo;Baixo
34145;UHE Manso - Barragem da Margem Direita;Chapada dos Guimarães;Cuiabá;896;896573;contem;14;Amarelo;Alto
34145;UHE Manso - Barragem da Margem Direita;Chapada dos Guimarães;Várzea Grande;896;89657182;contem;14;Amarelo;Alto
34146;UHE Manso - Barragem da Margem Esquerda;Chapada dos Guimarães;Cuiabá;896;896573;contem;14;Amarelo;Alto
34146;UHE Manso - Barragem da Margem Esquerda;Chapada dos Guimarães;Várzea Grande;896;89657182;contem;14;Amarelo;Alto
4436;UHE Manso - Barragem de Terra do Leito do Rio;Chapada dos Guimarães;Cuiabá;896;896573;contem;15;Amarelo;Alto
4436;UHE Manso - Barragem de Terra do Leito do Rio;Chapada dos Guimarães;Várzea Grande;896;89657182;contem;15;Amarelo;Alto
20601;UHE Manso - Dique 2;Chapada dos Guimarães;Cuiabá;89678;896573;montante;15;Amarelo;Alto
20601;UHE Manso - Dique 2;Chapada dos Guimarães;Jangada;89678;89658;montante;15;Amarelo;Alto
20601;UHE Manso - Dique 2;Chapada dos Guimarães;Nossa Senhora do Livramento;89678;89657184;montante;15;Amarelo;Alto
20601;UHE Manso - Dique 2;Chapada dos Guimarães;Rosário Oeste;89678;8965932;montante;15;Amarelo;Alto
20601;UHE Manso - Dique 2;Chapada dos Guimarães;Santo Antônio de Leverger;89678;896544;montante;15;Amarelo;Alto
20601;UHE Manso - Dique 2;Chapada dos Guimarães;Várzea Grande;89678;89657182;montante;15;Amarelo;Alto
20602;UHE Manso - Dique 3;Chapada dos Guimarães;Cuiabá;89678;896573;montante;15;Amarelo;Alto
20602;UHE Manso - Dique 3;Chapada dos Guimarães;Jangada;89678;89658;montante;15;Amarelo;Alto
20602;UHE Manso - Dique 3;Chapada dos Guimarães;Nossa Senhora do Livramento;89678;89657184;montante;15;Amarelo;Alto
20602;UHE Manso - Dique 3;Chapada dos Guimarães;Rosário Oeste;89678;8965932;montante;15;Amarelo;Alto
20602;UHE Manso - Dique 3;Chapada dos Guimarães;Santo Antônio de Leverger;89678;896544;montante;15;Amarelo;Alto
20602;UHE Manso - Dique 3;Chapada dos Guimarães;Várzea Grande;89678;89657182;montante;15;Amarelo;Alto
20603;UHE Manso - Dique 4;Chapada dos Guimarães;Cuiabá;89678;896573;montante;15;Amarelo;Alto
20603;UHE Manso - Dique 4;Chapada dos Guimarães;Jangada;89678;89658;montante;15;Amarelo;Alto
20603;UHE Manso - Dique 4;Chapada dos Guimarães;Nossa Senhora do Livramento;89678;89657184;montante;15;Amarelo;Alto
20603;UHE Manso - Dique 4;Chapada dos Guimarães;Rosário Oeste;89678;8965932;montante;15;Amarelo;Alto
20603;UHE Manso - Dique 4;Chapada dos Guimarães;Santo Antônio de Leverger;89678;896544;montante;15;Amarelo;Alto
20603;UHE Manso - Dique 4;Chapada dos Guimarães;Várzea Grande;89678;89657182;montante;15;Amarelo;Alto
20604;UHE Manso - Dique 5;Chapada dos Guimarães;Cuiabá;89678;896573;montante;15;Amarelo;Alto
20604;UHE Manso - Dique 5;Chapada dos Guimarães;Jangada;89678;89658;montante;15;Amarelo;Alto
20604;UHE Manso - Dique 5;Chapada dos Guimarães;Nossa Senhora do Livramento;89678;89657184;montante;15;Amarelo;Alto
20604;UHE Manso - Dique 5;Chapada dos Guimarães;Rosário Oeste;89678;8965932;montante;15;Amarelo;Alto
20604;UHE Manso - Dique 5;Chapada dos Guimarães;Santo Antônio de Leverger;89678;896544;montante;15;Amarelo;Alto
20604;UHE Manso - Dique 5;Chapada dos Guimarães;Várzea Grande;89678;89657182;montante;15;Amarelo;Alto
20605;UHE Manso - Dique 6;Chapada dos Guimarães;Cuiabá;89678;896573;montante;15;Amarelo;Alto
20605;UHE Manso - Dique 6;Chapada dos Guimarães;Jangada;89678;89658;montante;15;Amarelo;Alto
20605;UHE Manso - Dique 6;Chapada dos Guimarães;Nossa Senhora do Livramento;89678;89657184;montante;15;Amarelo;Alto
20605;UHE Manso - Dique 6;Chapada dos Guimarães;Rosário Oeste;89678;8965932;montante;15;Amarelo;Alto
20605;UHE Manso - Dique 6;Chapada dos Guimarães;Santo Antônio de Leverger;89678;896544;montante;15;Amarelo;Alto
20605;UHE Manso - Dique 6;Chapada dos Guimarães;Várzea Grande;89678;89657182;montante;15;Amarelo;Alto
20606;UHE Manso - Dique 7;Chapada dos Guimarães;Cuiabá;89678;896573;montante;15;Amarelo;Alto
20606;UHE Manso - Dique 7;Chapada dos Guimarães;Jangada;89678;89658;montante;15;Amarelo;Alto
20606;UHE Manso - Dique 7;Chapada dos Guimarães;Nossa Senhora do Livramento;89678;89657184;montante;15;Amarelo;Alto
20606;UHE Manso - Dique 7;Chapada dos Guimarães;Rosário Oeste;89678;8965932;montante;15;Amarelo;Alto
20606;UHE Manso - Dique 7;Chapada dos Guimarães;Santo Antônio de Leverger;89678;896544;montante;15;Amarelo;Alto
20606;UHE Manso - Dique 7;Chapada dos Guimarães;Várzea Grande;89678;89657182;montante;15;Amarelo;Alto
30462;BARRAGEM 01;Cláudia;Marcelândia;426934;42678;montante;10;Verde;Baixo
30462;BARRAGEM 01;Cláudia;União do Sul;426934;426918;montante;10;Verde;Baixo
29953;Barragem 02;Cláudia;Marcelândia;426934;42678;montante;10;Verde;Baixo
29953;Barragem 02;Cláudia;União do Sul;426934;426918;montante;10;Verde;Baixo
36100;Barragem a montante;Cláudia;Marcelândia;42682;42678;montante;8;Verde;Baixo
35071;Barramento 1 ? Lote n° 114-B, 114-C E 115;Cláudia;Marcelândia;426912;42678;montante;8;Verde;Baixo
36099;Lote nº 316;Cláudia;Marcelândia;42682;42678;montante;8;Verde;Baixo
36066;Barragem I;Confresa;Santa Terezinha;678722;678322;montante;8;Verde;Médio
29579;Barramento II;Confresa;Santa Terezinha;67872;678322;montante;6;Verde;Baixo
31569;Fazenda Luta;Confresa;Santa Terezinha;67872;678322;montante;10;Verde;Médio
26333;PREFEITURA MUNICIPAL DE CONFRESA;Confresa;Santa Terezinha;678722;678322;montante;7;Verde;Não Classificado
34039;CGH Fazenda Dois Irmãos - Córrego Seixas - Fazenda Dois Irmãos;Conquista D'Oeste;Comodoro;46994962;46993296;montante;14;Verde;Baixo
