area_calc_ha;area_hectare_declarada;capacidade;cd_sipra;data_de_criacao;data_obtencao;descricao_fase;fase;forma_obtencao;gid;municipio;nome_projeto;num_familias;sr
35017.2604;35000.0000;775;MT0203000;29/12/1997;16/01/1997;;5;Desapropriação;17997;PARANAITA;PA SÃO PEDRO;772;
;1549.4342;57;MT0806000;15/03/2007;28/09/2004;;3;Compra e Venda;21081;NOVA OLIMPIA;PA USIEL PEREIRA;57;
;17700.7379;346;MT0057000;10/06/1992;22/04/1991;;3;Doação;21082;COLNIZA;PA PERSEVERANÇA PACUTINGA;317;
;1649.2222;72;MT0261000;14/12/1998;04/12/1998;;6;Compra e Venda;21135;SAO JOSE DO POVO;PA SANDRINI;70;
;8988.6722;270;MT0950000;21/08/2018;26/12/2013;;3;Desapropriação;21142;BARRA DO GARCAS;PA PASSA VINTE;0;
18111.0994;18131.6997;266;MT0017000;11/12/1986;25/02/1986;;6;Desapropriação;7979;NOVA LACERDA;PA SARARÉ;254;
23257.9881;22674.0974;325;MT0026000;21/05/1987;11/03/1987;;3;Arrecadação;11471;PEIXOTO DE AZEVEDO;PA ETA;304;
9356.0970;9481.6913;131;MT0066000;10/01/1995;02/10/1989;;3;Desapropriação;17980;NOVA NAZARE;PA PONTAL;123;
7274.5315;7029.4470;203;MT0689000;12/12/2003;25/02/2003;;3;Desapropriação;4067;BARRA DO BUGRES;PA CABAÇAS;176;
24832.8588;24835.4432;570;MT0845000;16/11/2009;18/12/2008;;3;Desapropriação;17973;RIBEIRAO CASCALHEIRA;PA SANTA RITA;279;
2603.1386;2497.4687;54;MT0808000;02/08/2010;18/05/2006;;3;Desapropriação;18012;UNIAO DO SUL;PDS SONHO DE ANDERSON;64;
27635.5990;28995.6065;360;MT0265000;31/12/1998;12/08/1998;;3;Desapropriação;18015;NOVA MUTUM;PA PONTAL DO MARAPE;360;
3840.4188;3983.0000;68;MT0108000;14/12/1995;25/01/1985;;6;Desapropriação;2063;MIRASSOL D'OESTE;PA PROVIDÊNCIA - I;67;
12466.4539;12420.4855;245;MT0307000;28/01/1999;10/02/1998;;3;Desapropriação;11654;COLNIZA;PA NATAL;216;
22823.1450;22538.3847;212;MT0067000;10/01/1995;16/11/1985;;3;Desapropriação;17966;CONFRESA;PA PIRACICABA;215;
15129.9849;15057.9595;232;MT0028000;28/05/1987;16/12/1986;;3;Desapropriação;16019;AGUA BOA;PA JATOBAZINHO;219;
1589.0678;2124.3500;37;MT0129000;29/12/1995;03/03/1980;;3;Arrecadação;4400;NOVO MUNDO;PA CASTANHAL;22;
1215.3215;1216.9924;20;MT0821000;28/03/2011;09/11/2007;;3;Compra e Venda;9859;CLAUDIA;PDS TERRA DE VIVER;15;
27934.8399;27464.6994;400;MT0818000;09/11/2007;24/11/2005;;3;Desapropriação;20601;ARIPUANA;PA MEDALHA MILAGROSA;187;
7985.6431;7790.8328;95;MT0731000;25/05/2005;25/05/2005;;3;Arrecadação;11589;PEIXOTO DE AZEVEDO;PA ANTONIO SOARES;94;
1605.8868;1597.5318;27;MT0667000;24/11/2003;24/11/2003;;6;Arrecadação;4436;NOVA MUTUM;PA RIBEIRÃO GRANDE - III;39;
2529.2393;6300.0000;90;MT0262000;10/12/1999;22/12/1997;;4;Desapropriação;4810;NOVA OLIMPIA;PA RIO BRANCO;85;
1512.6121;1043.0000;73;MT0050000;06/10/1988;02/05/1986;;3;Desapropriação;20484;NOBRES;PA SERRAGEM;67;
29658.0706;8273.1815;115;MT0140000;24/05/1996;24/05/1996;;3;Arrecadação;19058;GUARANTA DO NORTE;PA HORIZONTE II;72;
1073.1515;1050.5363;38;MT0642000;10/09/2003;18/07/2002;;3;Desapropriação;4437;PRIMAVERA DO LESTE;PA BR-070;32;
6891.0384;6829.6219;200;MT0853000;11/06/2012;30/06/2010;;3;Desapropriação;9868;CANARANA;PA GUATAPARA;118;
6536.2895;6422.8600;240;MT0187000;24/10/1997;18/07/1996;;3;Desapropriação;10967;VILA BELA DA SANTISSIMA TRINDADE;PA SERINGAL;225;
10213.3266;10216.3717;130;MT0088000;27/09/1995;03/03/1980;;4;Arrecadação;12482;NOVO MUNDO;PA COTREL;121;
1045.6452;1043.7025;35;MT0702000;29/03/2004;25/03/2004;;3;Desapropriação;11879;PEDRA PRETA;PA FREI SERVACIO SCHULT;35;
11777.2807;11749.1643;375;MT0111000;14/12/1995;20/12/1994;;6;Desapropriação;497;MARCELANDIA;PA BONJAGUÁ;362;
1276.3093;1276.7043;80;MT0640000;09/09/2003;05/08/2001;;3;Desapropriação;4070;PEIXOTO DE AZEVEDO;PA BELMONTE;36;
8308.3620;7500.0000;200;MT0022000;01/04/1987;26/06/1986;;5;Desapropriação;8593;PONTES E LACERDA;PA CORONEL ARI;138;
796.6064;659.8400;25;MT0746000;17/11/2005;17/11/2005;;3;Desapropriação;4250;NOVA MARINGA;PA SANTO ANTONIO;11;
3117.9411;3152.4340;120;MT0228000;06/07/1998;04/12/1997;;4;Desapropriação;2232;SAO JOSE DO POVO;PA PADRE JOSIMO TAVARES;115;
7952.8983;8002.9772;51;MT0125000;29/12/1995;29/12/1995;;7;Desapropriação;2175;SAO JOSE DO XINGU;PA YAMIN;94;
4347.1768;4796.9832;107;MT0087000;27/09/1995;16/01/1979;;7;Arrecadação;2061;TERRA NOVA DO NORTE;PA UNIÃO DE TODOS;104;
8237.9661;8193.9839;128;MT0084000;01/09/1995;21/06/1994;;3;Desapropriação;2044;NOVA XAVANTINA;PA RANCHO AMIGO;115;
63289.0901;63249.0740;1063;MT0167000;27/11/1997;06/09/1996;;3;Desapropriação;10838;TABAPORA;PA MERCEDES BENS I E II;1010;
28343.0136;27583.0171;139;MT0068000;10/01/1995;17/05/1984;;7;Desapropriação;19976;SAO FELIX DO ARAGUAIA;PA AZULONA GAMELEIRA;132;
950.1895;949.6580;23;MT0820000;05/10/2010;17/03/2008;;3;Compra e Venda;9861;UNIAO DO SUL;PDS NOVO RENASCER;21;
4184.0790;4183.8386;64;MT0120000;29/12/1995;24/03/1985;;7;Desapropriação;2172;CONFRESA;PA PORTO ESPERANÇA;61;
2134.3413;2125.0000;28;MT0016000;08/08/1986;07/05/1981;;3;Arrecadação;4169;GENERAL CARNEIRO;PA MORRINHO;27;
1342.9417;1352.2550;60;MT0294000;28/12/1998;16/07/1998;;3;Desapropriação;17961;NOVO SAO JOAQUIM;PA TAMBORIL;58;
15744.6142;15742.3372;172;MT0064000;10/01/1995;26/10/1993;;7;Desapropriação;2055;QUERENCIA;PA COUTINHO UNIÃO;171;
9010.8874;9073.0000;170;MT0241000;28/07/1999;10/12/1998;;3;Desapropriação;17945;SAO JOSE DO XINGU;PA BRASIPAIVA;146;
1733.6127;1621.0400;40;MT0822000;18/01/2012;24/10/2007;;3;Desapropriação;18001;UNIAO DO SUL;PDS FREI CRISPIN;10;
913.8020;948.0000;17;MT0043000;17/09/1987;12/11/1986;;3;Desapropriação;1975;PLANALTO DA SERRA;PA VINAGRE LOTE 31;12;
2407.8723;2407.4621;47;MT0198000;19/12/1997;05/12/1996;;3;Desapropriação;17675;CACERES;PA RANCHO DA SAUDADE;45;
3082.3500;8098.6450;450;MT0346000;17/03/2000;18/10/1999;;3;Desapropriação;11043;NOVA MONTE VERDE;PA MONTE VERDE;123;
3110.0673;3107.7993;71;MT0247000;24/02/1999;30/04/1998;;6;Desapropriação;11090;TAPURAH;PA SANTA LUZIA I;67;
1448.7335;1486.7150;25;MT0824000;27/12/2011;22/12/2003;;3;Desapropriação;18005;UNIAO DO SUL;PDS OLGA BENARIO;29;
5890.7320;5806.7700;169;MT0014000;05/06/1986;05/02/1985;;7;Desapropriação;18040;ALTO PARAGUAI;PA CAPÃO VERDE;153;
13342.7854;13272.4503;219;MT0123000;29/12/1995;05/05/1980;;3;Arrecadação;2174;GUARANTA DO NORTE;PA CACHOEIRA DA UNIÃO;143;
1967.2344;4123.9734;67;MT0735000;28/05/2005;28/05/2005;;6;Arrecadação;5960;PORTO ALEGRE DO NORTE;PA UIRAPURU;66;
1528.9287;1528.6940;75;MT0109000;19/12/1995;25/10/1985;;7;Desapropriação;2048;CURVELANDIA;PA PROVIDÊNCIA III;74;
24967.1018;31273.3432;630;MT0349000;28/02/2000;23/11/1999;;4;Desapropriação;11549;CONFRESA;PA SÃO VICENTE;365;
3725.1919;3493.0000;51;MT0248000;28/12/1998;13/04/1998;;3;Desapropriação;9415;IPIRANGA DO NORTE;PA CRISTALMEL;51;
4508.4957;4505.3635;104;MT0610000;11/09/2002;11/09/2002;;3;Arrecadação;10900;ROSARIO OESTE;PA NOSSA SENHORA DA ESPERANÇA;104;
855.9321;826.0000;27;MT0151000;09/01/1997;26/12/1995;;6;Compra e Venda;3721;RONDONOPOLIS;PA SANTA LUZIA;26;
4031.2342;4065.0000;45;MT0090000;06/12/1995;08/11/1994;;3;Desapropriação;2263;CHAPADA DOS GUIMARAES;PA PRAIA RICA;43;
14493.7523;14616.6164;186;MT0169000;02/12/1996;09/05/1996;;3;Desapropriação;2071;RIBEIRAO CASCALHEIRA;PA CANCELA;168;
3143.9850;3075.0765;99;MT0303000;24/02/1999;06/10/1998;;3;Desapropriação;16029;RONDONOPOLIS;PA 17 DE MARÇO;95;
114463.1093;115035.0000;1149;MT0127000;29/12/1995;29/01/1995;;7;Desapropriação;18017;TAPURAH;PA TAPURAH/ITANHANGA;1124;
9264.3483;9259.9533;108;MT0737000;09/09/2005;09/09/2005;;3;Arrecadação;18234;PEIXOTO DE AZEVEDO;PA VIDA NOVA II;87;
4425.3766;4536.2487;60;MT0142000;25/07/1996;24/03/1995;;6;Desapropriação;1722;VILA RICA;PA COLONIA BOM JESUS;62;
3447.8336;3445.1365;48;MT0189000;13/11/1997;25/11/1996;;3;Desapropriação;2229;TAPURAH;PA BONANZA;43;
60.0865;60.1254;14;MT0855000;19/03/2012;03/06/1998;;3;Compra e Venda;9843;PONTES E LACERDA;PA BARRA DO MARCO II;13;
5674.5371;6206.8531;118;MT0079000;15/08/1995;05/11/1986;;3;Desapropriação;17990;NOVA CANAA DO NORTE;PA AVAÍ;114;
1141.9452;1148.2211;26;MT0854000;28/11/2011;18/05/2006;;3;Desapropriação;18053;SANTO ANTONIO DO LEVERGER;PA PAU DALHO;26;
4162.9991;3528.0000;117;MT0071000;23/02/1995;12/12/1989;;3;Desapropriação;219;COMODORO;PA GRANJA;115;
2431.4991;2433.1948;87;MT0838000;22/09/2009;28/03/2008;;3;Compra e Venda;9867;GAUCHA DO NORTE;PDS NOVA ALIANÇA;79;
13607.0062;13607.6714;439;MT0634000;24/04/2003;24/04/2003;;3;Compra e Venda;16030;CACERES;PA SADIA VALE VERDE;428;
1102.4510;1081.9170;25;MT0621000;30/11/2002;30/11/2002;;3;Arrecadação;2146;DIAMANTINO;PA RIO PRETO;12;
1797.2954;1887.0272;73;MT0196000;31/12/1997;25/04/1997;;6;Desapropriação;2253;SAO JOSE DOS QUATRO MARCOS;PA SANTA ROSA I;73;
21592.5949;21582.3093;214;MT0119000;29/12/1995;24/03/1995;;6;Desapropriação;2157;RIBEIRAO CASCALHEIRA;PA MARIA TEREZA;202;
10210.0561;10641.3527;300;MT0143000;11/07/1996;24/03/1995;;3;Desapropriação;20563;VILA RICA;PA ITAPORÃ DO NORTE;158;
299.8560;300.0000;18;MT0173000;08/01/1997;13/02/1979;;6;Arrecadação;9853;VILA BELA DA SANTISSIMA TRINDADE;PA BOCAINA;18;
4184.9875;7870.0000;123;MT0019000;17/12/1986;16/05/1986;;7;Arrecadação;345;COMODORO;PA NOVA ALVORADA;94;
714.3113;726.0000;37;MT0324000;16/11/1999;18/09/1998;;6;Desapropriação;2115;POXOREO;PA TIETÊ;24;
459.2111;469.0000;26;MT0756000;27/03/2006;27/03/2006;;3;Desapropriação;9844;DIAMANTINO;PA DIOCESE DE DIAMANTINO/MT;26;
7523.5318;7514.5862;232;MT0201000;04/06/1998;19/08/2002;;6;Desapropriação;2016;VERA;PA CALIFORNIA;221;
33831.0027;32769.9496;500;MT0075000;02/08/1995;20/12/1993;;3;Desapropriação;2245;CONFRESA;PA FARTURA;452;
43938.9540;44023.7000;1016;MT0305000;28/12/1998;17/08/1998;;3;Desapropriação;2283;COLNIZA;PA COLNIZA-I;966;
9825.5837;11509.0000;150;MT0232000;13/07/1998;03/02/1998;;3;Desapropriação;16025;NOVA UBIRATA;PA SANTA TEREZINHA II;134;
30002.1594;30072.0000;524;MT0199000;26/11/1997;19/08/2002;;4;Desapropriação;20208;COTRIGUACU;PA JURUENA;476;
1587.4979;900.0000;28;MT0101000;27/11/1995;11/10/1983;;3;Arrecadação;19960;PORTO ESTRELA;PA VÃO GRANDE;28;
16688.4640;16447.5000;183;MT0137000;19/03/1996;24/03/1995;;4;Desapropriação;11592;VILA BELA DA SANTISSIMA TRINDADE;PA SANTA HELENA;181;
11576.3420;11573.3872;217;MT0331000;10/04/2001;10/04/2001;;3;Desapropriação;11633;VILA RICA;PA SANTO ANTONIO DO BELEZA;164;
33121.0756;33035.9344;130;MT0074000;06/10/1995;28/12/1983;;5;Desapropriação;220;SAO FELIX DO ARAGUAIA;PA CHAPADINHA;127;
7251.0215;7250.5673;102;MT0217000;19/12/1997;19/08/2002;;3;Arrecadação;2411;GUARANTA DO NORTE;PA IRIRIZINHO;72;
2246.5894;1971.6141;72;MT0941000;02/02/2015;26/12/2013;;3;Desapropriação;14256;JUSCIMEIRA;PA EGIDIO BRUNETTO;72;
5214.8145;5331.1210;86;MT0758000;25/09/2006;31/05/2005;;3;Desapropriação;4051;VILA BELA DA SANTISSIMA TRINDADE;PA MARUMBI;86;
1694.2728;1826.4365;62;MT0732000;28/05/2005;28/05/2005;;3;Arrecadação;11969;PEDRA PRETA;PA FURNAS;48;
386.5776;440.0000;18;MT0301000;17/12/1998;07/07/1998;;3;Desapropriação;8591;RONDONOPOLIS;PA ÁGUAS DA SERRA;18;
22551.4014;22277.7133;222;MT0776000;18/11/2005;16/11/2005;;3;Arrecadação;19114;PEIXOTO DE AZEVEDO;PA PLANALTO DO IRIRI;180;
20323.8715;20591.9820;244;MT0172000;14/10/1997;14/10/1997;;6;Desapropriação;2246;CONFRESA;PA MARGARIDA UNIÃO;217;
10761.2845;7500.0000;194;MT0150000;31/10/1996;05/12/1984;;5;Arrecadação;18232;NOVA CANAA DO NORTE;PA RONDON;185;
4289.4383;4286.5666;103;MT0473000;02/08/2001;01/07/1999;;3;Desapropriação;1872;NOSSA SENHORA DO LIVRAMENTO;PA FRANCISCO JOSÉ NASCIMENTO;83;
6429.8479;6430.2554;861;MT0045000;17/09/1987;31/12/1984;;5;Arrecadação;13015;PORTO ALEGRE DO NORTE;PA LIBERDADE;268;
93334.9143;93960.7697;2076;MT0113000;06/12/1995;06/12/1995;;6;Desapropriação;499;CONFRESA;PA CONFRESA/RONCADOR;1184;
10797.2939;1994.0000;129;MT0162000;24/02/1997;23/09/1996;;3;Desapropriação;5125;CACERES;PA LARANJEIRA I;133;
1198.6315;1210.0000;36;MT0736000;28/05/2005;28/05/2005;;3;Confisco;9842;VILA BELA DA SANTISSIMA TRINDADE;PA LOURIVAL D´ABIC;36;
7512.1879;7546.9669;107;MT0061000;12/11/1992;11/12/1991;;7;Compra e Venda;2205;NOVA XAVANTINA;PA PIAU;97;
6312.9914;6262.7875;118;MT0027000;28/05/1987;18/12/1986;;7;Desapropriação;11571;ALTO PARAGUAI;PA TIRA SENTIDO;117;
7642.3469;7643.5196;174;MT0825000;18/12/2007;11/12/2006;;3;Desapropriação;11591;NOVA LACERDA;PA SANTA ELINA;163;
781.5436;766.3000;31;MT0769000;17/11/2005;17/11/2005;;3;Desapropriação;13110;NOVA MARINGA;PA SANTO ANTONIO II;14;
3371.5925;3413.1808;73;MT0313000;05/04/2001;17/09/1998;;3;Desapropriação;2394;CACERES;PA CORIXO;73;
4722.0904;4782.4698;170;MT0755000;27/03/2006;27/03/2006;;3;Desapropriação;5217;CACERES;PA FACÃO/BOM JARDIM;170;
7578.3032;7513.4777;270;MT0344000;04/06/2001;19/08/2002;;3;Desapropriação;18063;CAMPO VERDE;PA SANTO ANTONIO DA FARTURA;265;
1256.9258;1154.7000;50;MT0154000;04/04/1997;30/09/1996;;6;Compra e Venda;1726;RONDONOPOLIS;PA PRIMAVERA;47;
1644.2445;1644.3816;42;MT0915000;28/03/2014;20/09/2013;;3;Arrecadação;14264;NOVO MUNDO;PDS TABAPUA;41;
7358.7192;7327.6700;155;MT0164000;24/12/1996;23/03/1996;;3;Desapropriação;2256;VALE DE SÃO DOMINGOS;PA AERORANCHO;122;
6828.8713;6472.9773;145;MT0133000;08/02/1996;17/01/1984;;3;Arrecadação;1976;CHAPADA DOS GUIMARAES;PA QUILOMBO;103;
60414.3938;60505.8578;1231;MT0174000;05/12/1996;05/12/1996;;3;Desapropriação;13085;PEIXOTO DE AZEVEDO;PA SÃO JOSÉ UNIÃO;981;
6968.1524;6218.8981;50;MT0184000;04/12/1997;06/09/1996;;3;Desapropriação;11551;SAO FELIX DO ARAGUAIA;PA LAGO DE PEDRA;45;
1066.4183;1069.6319;27;MT0724000;04/02/2005;04/02/2005;;3;Arrecadação;17977;NOVO MUNDO;PA ALIANÇA;21;
29414.2482;29417.3280;358;MT0031000;28/05/1987;25/09/1986;;3;Desapropriação;17985;NOVA XAVANTINA;PA SAFRA;376;
1281.1289;994.4946;48;MT0326000;10/02/2000;10/02/2000;;3;Desapropriação;2019;PEDRA PRETA;PA SANTO ANTONIO DO NORTE;47;
9413.8620;9916.5589;158;MT0063000;24/09/1992;18/03/1987;;3;Desapropriação;1914;AGUA BOA;PA SERRINHA;36;
2161.6074;2161.5045;85;MT0943000;13/11/2015;17/11/2015;;3;Arrecadação;13251;INDIAVAI;PA SANTA AURELIA;0;
1082.8283;983.0000;40;MT0472000;13/07/2001;19/08/2002;;3;Desapropriação;1957;VARZEA GRANDE;PA DORCELINA FOLADOR;34;
1181.1059;1247.0000;30;MT0282000;31/12/1998;03/07/1998;;3;Desapropriação;4283;CACERES;PA IPÊ ROXO;26;
1641.7438;1569.0000;45;MT0157000;31/10/1996;16/01/1979;;5;Arrecadação;4069;TERRA NOVA DO NORTE;PA ALTO PARAISO;45;
7804.9321;5661.3896;198;MT0701000;29/03/2004;29/03/2004;;10;Arrecadação;16022;JACIARA;PA MESTRE;0;
5186.3388;5187.3694;62;MT0231000;28/12/1998;28/12/1998;;3;Desapropriação;16028;GUIRATINGA;PA SANTO ANTONIO;63;
107142.4479;109913.0000;600;MT0069000;10/01/1995;24/02/1981;;5;Desapropriação;2059;BOM JESUS DO ARAGUAIA;PA SANTO ANTONIO DA MATA AZUL;598;
12222.6413;12214.0141;222;MT0946000;01/02/2018;26/12/2013;;3;Desapropriação;13366;JURUENA;PA SOMAPAR;0;
2078.1284;2439.5000;85;MT0309000;20/01/1999;08/10/1997;;3;Desapropriação;2079;ROSARIO OESTE;PA RAIZAMA;82;
52278.2085;52283.0667;980;MT0132000;29/12/1995;24/03/1995;;3;Desapropriação;18079;PEIXOTO DE AZEVEDO;PA CACHIMBO;922;
48820.2811;49811.0574;824;MT0356000;10/02/2000;28/07/1999;;3;Desapropriação;18080;PEIXOTO DE AZEVEDO;PA CACHIMBO II;768;
434.5188;433.2607;14;MT0627000;18/12/2002;18/12/2002;;3;Arrecadação;2095;CACERES;PA BOM SUCESSO;13;
2358.2378;2188.9446;43;MT0726000;04/02/2005;14/04/2000;;6;Arrecadação;17942;NOVO MUNDO;PA CRISTALINO II;41;
20094.0100;20162.3996;420;MT0212000;11/05/1998;17/11/1997;;3;Desapropriação;17979;AGUA BOA;PA JARAGUÁ;410;
638.2923;643.7129;34;MT0112000;14/12/1995;02/01/1995;;5;Arrecadação;17996;NOVA GUARITA;PA SANTA IZABEL;30;
2650.8025;2450.3548;43;MT0046000;24/09/1987;31/12/1984;;4;Arrecadação;5027;BOM JESUS DO ARAGUAIA;PA SERRA NOVA I;43;
18744.9919;18656.5771;400;MT0815000;10/08/2007;10/08/2007;;3;Desapropriação;9324;CONFRESA;PA BRIDÃO BRASILEIRO;379;
2417.3192;2540.0000;101;MT0102000;27/11/1995;19/12/1989;;3;Desapropriação;2108;SAO FELIX DO ARAGUAIA;PA OLARIA;45;
1224.8084;1230.5818;40;MT0224000;05/05/1998;15/01/1998;;6;Desapropriação;1793;RONDONOPOLIS;PA COQUEIRO;40;
1480.7511;1633.0000;22;MT0252000;28/12/1998;29/03/1976;;3;Desapropriação;1921;IPIRANGA DO NORTE;PA MOGIANA II;21;
2427.1644;2425.3885;68;MT0840000;15/05/2012;27/12/2007;;3;Compra e Venda;9863;NOVA OLIMPIA;PDS NOVA CONQUISTA;66;
911.5519;911.6195;29;MT0197000;24/10/1997;05/11/1996;;3;Desapropriação;17676;CACERES;PA JATOBÁ;28;
48910.1886;50409.7648;728;MT0053000;13/06/1990;01/01/1988;;3;Desapropriação;18035;NOBRES;PA COQUEIRAL/QUEBÓ;559;
62864.4876;66891.2939;924;MT0297000;02/07/1999;25/09/1998;;4;Desapropriação;2223;NOVA BANDEIRANTES;PA JAPURANÃ;922;
2581.4099;2534.3951;112;MT0720000;10/09/2004;08/11/2002;;3;Desapropriação;4574;POCONE;PA SANTA FILOMENA;111;
1635.2009;1575.5225;38;MT0778000;18/11/2005;18/11/2005;;3;Arrecadação;17937;NOVO MUNDO;PA ARAUNA II;32;
1135.4545;1134.0000;60;MT0458000;03/04/2001;19/08/2002;;3;Desapropriação;4412;JUSCIMEIRA;PA SANTO EXPEDITO;38;
1474.9104;1495.0455;60;MT0225000;18/06/1998;15/01/1998;;5;Desapropriação;1794;GUIRATINGA;PA DOIS IRMÃOS;58;
20423.3316;20488.0000;732;MT0047000;23/03/1988;30/08/1987;;3;Compra e Venda;11285;JAURU;PA MIRASSOLZINHO;687;
1289.0076;1249.7748;40;MT0314000;30/08/1999;17/11/1998;;6;Desapropriação;2395;CACERES;PA SAPICUÁ;39;
5808.2103;5827.6826;72;MT0034000;14/08/1987;14/08/1987;;3;Desapropriação;2102;SAO JOSE DO XINGU;PA AYMORÉ;68;
38280.5480;38337.8261;999;MT0181000;12/12/1997;05/05/1997;;3;Desapropriação;17998;TANGARA DA SERRA;PA ANTONIO CONSELHEIRO;667;
2783.1188;4033.7352;29;MT0107000;14/12/1995;25/01/1994;;4;Arrecadação;16017;CACERES;PA SÃO LUIZ;26;
1369.8073;1396.6757;40;MT0703000;29/03/2004;25/02/2003;;3;Desapropriação;4478;DOM AQUINO;PA SÃO BENTO;40;
6436.6214;6087.0000;145;MT0193000;06/11/1997;26/09/1996;;3;Desapropriação;2077;NOVA BRASILANDIA;PA SANTA ROSA;134;
1895.7243;1886.3684;48;MT0668000;27/09/2003;05/09/2002;;3;Desapropriação;4007;CACERES;PA KATIRA;48;
2124.3504;2326.0482;80;MT0274000;20/01/1999;08/10/1997;;3;Desapropriação;221;CACERES;PA BARRANQUEIRA;78;
8545.6692;8541.2223;85;MT0312000;20/04/1999;17/04/1998;;6;Desapropriação;5674;BRASNORTE;PA PALOMA;100;
4967.2509;4964.7255;56;MT0035000;14/08/1987;14/08/1987;;3;Desapropriação;1912;RIBEIRAO CASCALHEIRA;PA CRUZEIRO DO NORTE;57;
1223.3372;1221.0000;47;MT0149000;02/12/1996;22/11/1996;;6;Compra e Venda;1901;DOM AQUINO;PA PARAISO;43;
999.8804;1061.6000;28;MT0186000;30/05/1997;25/11/1996;;3;Desapropriação;2227;POCONE;PA FURNAS DO BURITI;26;
10911.7943;10786.0369;139;MT0072000;23/02/1995;23/02/1987;;6;Desapropriação;4049;ALTO BOA VISTA;PA BANDEIRANTES;127;
1069.0380;1187.0743;30;MT0719000;02/08/2004;25/01/1994;;4;Arrecadação;5139;CACERES;PA FLOR DA MATA;21;
3189.1933;3124.1534;62;MT0725000;04/02/2005;14/07/2000;;3;Arrecadação;17939;NOVO MUNDO;PA CRISTALINO;44;
14034.5278;14147.5700;523;MT0202000;15/12/1997;01/09/1997;;6;Desapropriação;2017;COLIDER;PA VERANEIO;523;
969.4169;968.0000;45;MT0292000;25/01/1999;01/10/1997;;3;Desapropriação;2389;SANTO ANTONIO DO LEVERGER;PA RIBEIRÃO DA GLÓRIA;40;
9145.7284;9140.3903;153;MT0706000;04/06/2004;14/07/1997;;3;Desapropriação;2437;RIBEIRAO CASCALHEIRA;PA SANTA LUCIA;130;
3782.7897;3780.1758;57;MT0250000;28/12/1998;16/06/1998;;3;Desapropriação;11734;IPIRANGA DO NORTE;PA BOGORNI;56;
8736.6196;7896.0000;181;MT0300000;26/07/1999;26/07/1999;;3;Desapropriação;2014;PARANATINGA;PA COLORADO;178;
6743.1807;5823.1246;210;MT0636000;10/07/2003;06/11/2002;;3;Desapropriação;4065;NORTELANDIA;PA RAIMUNDO ROCHA;198;
8847.5700;8892.9572;115;MT0121000;29/12/1995;29/12/1995;;3;Desapropriação;2173;CONFRESA;PA INDEPENDENTE II;111;
30041.5187;30000.0000;388;MT0200000;26/11/1997;25/11/1996;;3;Desapropriação;223;FELIZ NATAL;PA ENA;378;
1658.7951;1232.1451;24;MT0727000;05/02/2005;05/02/2005;;3;Arrecadação;17938;NOVO MUNDO;PA CRISTALINO - IV;18;
1330.0341;1344.2450;58;MT0734000;28/05/2005;16/06/2003;;3;Desapropriação;5694;SANTO AFONSO;PA PADRE JOSÉ TENCATE;58;
3144.5819;3293.7568;55;MT0249000;14/12/1998;28/05/1998;;3;Desapropriação;14257;CAMPO NOVO DO PARECIS;PA GUAPIRAMA;54;
6045.6675;6009.2400;144;MT0809000;08/05/2007;18/12/2006;;3;Compra e Venda;9848;ROSARIO OESTE;PA MARIA BENVINDA DE AVILA SOARES;90;
1683.4530;1695.2860;51;MT0183000;15/12/1997;09/07/1997;;3;Desapropriação;4199;CACERES;PA NOVA ESPERANÇA;51;
31275.0738;29969.0000;450;MT0192000;13/11/1997;23/10/1996;;4;Desapropriação;16031;MATUPA;PA PADOVANI;402;
2188.2096;2770.3810;105;MT0733000;28/05/2005;28/05/2005;;3;Arrecadação;9850;DENISE;PA NOSSA SENHORA DE FÁTIMA;82;
582.3513;581.9178;13;MT0492000;28/11/2001;27/09/2000;;4;Desapropriação;2272;DIAMANTINO;PA NOSSA SENHORA APARECIDA;13;
1222.4898;1222.5918;37;MT0256000;13/10/1999;16/06/1999;;3;Desapropriação;18092;NOVO HORIZONTE DO NORTE;PA BOSMAGI;37;
2397.7202;2355.7177;48;MT0837000;27/03/2012;11/09/2008;;3;Desapropriação;11015;CARLINDA;PDS SÃO PAULO;47;
312.3621;312.3792;13;MT0629000;18/12/2002;18/12/2002;;3;Arrecadação;13382;CACERES;PA FLEXAS;11;
7296.5280;7056.9263;180;MT0764000;02/10/2006;18/08/2006;;3;Desapropriação;11593;NOVA LACERDA;PA SÃO JUDAS;167;
32051.0893;32040.9256;409;MT0233000;13/07/1998;13/07/1998;;6;Desapropriação;19134;NOVA UBIRATA;PA BOA ESPERANÇA I, II E III;393;
30465.8369;29691.0000;436;MT0819000;17/12/2007;16/02/2007;;3;Desapropriação;9866;RIBEIRAO CASCALHEIRA;PA PRIMOROSA;292;
1537.5921;1577.4499;51;MT0311000;14/04/1999;12/11/1998;;3;Desapropriação;3985;ALTO ARAGUAIA;PA CÓRREGO RICO;47;
14420.4554;14417.1719;359;MT0360000;29/02/2000;19/08/2002;;4;Desapropriação;4247;BRASNORTE;PA JURUENA I;264;
1193.6210;1210.0000;46;MT0163000;03/03/1997;23/09/1996;;3;Desapropriação;230;CACERES;PA LARANJEIRA II;34;
2091.7531;2071.0000;71;MT0251000;20/11/1998;19/12/1997;;3;Desapropriação;1920;NORTELANDIA;PA SAO FRANCISCO II;70;
