area_calc_ha;area_hectare_declarada;capacidade;cd_sipra;data_de_criacao;data_obtencao;descricao_fase;fase;forma_obtencao;gid;municipio;nome_projeto;num_familias;sr
25060.9476;25062.8775;317;MT0051000;20/10/1989;13/01/1989;;3;Desapropriação;17964;CONFRESA;PA JACARÉ VALENTE;402;
40460.8396;40593.0000;536;MT0239000;28/01/1999;24/08/1998;;5;Desapropriação;17953;CONFRESA;PA SANTO ANTONIO DO FONTOURA I;535;
99670.3104;99988.5027;1502;MT0077000;22/09/1995;18/03/1992;;6;Compra e Venda;13256;COTRIGUACU;PA NOVA COTRIGUAÇU;1179;
2858.5990;2866.5584;126;MT0015000;08/08/1986;05/06/1984;;7;Desapropriação;343;CURVELANDIA;PA TUPÃ;113;
1669.6481;2050.0000;71;MT0105000;19/12/1995;09/08/1988;;3;Arrecadação;11286;JAURU;PA MIRASSOLZINHO II;64;
15719.2793;15368.7106;276;MT0076000;11/08/1995;22/07/1994;;5;Desapropriação;18033;DIAMANTINO;PA BOJUI;276;
2013.9711;2014.1226;40;MT0308000;28/12/1998;17/08/1998;;4;Desapropriação;17921;VILA RICA;PA SÃO GABRIEL;36;
9740.4281;9724.5256;237;MT0481000;13/11/2001;12/11/2001;;3;Desapropriação;10856;DIAMANTINO;PA CAETÉ;235;
5026.2229;5023.5779;138;MT0468000;11/04/2001;21/12/1999;;3;Desapropriação;16021;GENERAL CARNEIRO;PA SANTA CÁSSIA;134;
2968.1914;2876.6250;41;MT0128000;29/12/1995;01/01/1987;;3;Arrecadação;5961;GUARANTA DO NORTE;PA SÃO CRISTÓVÃO;38;
7148.9157;6914.3668;132;MT0126000;29/12/1995;29/12/1995;;7;Arrecadação;2176;GUARANTA DO NORTE;PA SÃO JOSÉ;109;
750.7160;1049.0000;39;MT0471000;04/06/2001;04/06/2001;;6;Desapropriação;4872;GUIRATINGA;PA SALETE STROZAK;31;
14750.0212;14400.0000;250;MT0244000;28/12/1998;14/11/1998;;3;Desapropriação;18090;JURUENA;PA VALE DO AMANHECER;223;
3182.0577;3180.3126;45;MT0210000;23/01/1998;23/01/1998;;3;Desapropriação;2080;IPIRANGA DO NORTE;PA FURNAS III;47;
2646.6650;2333.0000;38;MT0209000;31/12/1997;24/07/1997;;3;Desapropriação;18018;IPIRANGA DO NORTE;PA MOGIANA I;38;
5332.7990;5693.6732;80;MT0235000;31/07/1998;03/03/1998;;6;Desapropriação;9846;ITIQUIRA;PA NOSSA SENHORA DO CARMO;71;
6483.4237;5002.0000;160;MT0104000;27/11/1995;01/12/1995;;5;Desapropriação;2241;JAURU;PA CORGÃO;151;
6719.9410;18120.5104;354;MT0145000;14/08/1996;10/11/1995;;3;Desapropriação;18085;JUINA;PA IRACEMA;343;
1531.9519;1074.0000;51;MT0040000;14/08/1987;12/11/1986;;6;Desapropriação;18036;NOSSA SENHORA DO LIVRAMENTO;PA RIBERÃO DOS COCAIS;51;
23013.9970;22800.3725;243;MT0641000;09/09/2003;09/09/2003;;3;Desapropriação;11029;JUARA;PA VALE DO ARINOS;227;
3830.8735;3925.0000;136;MT0146000;06/11/1996;07/08/1996;;3;Compra e Venda;11594;JUSCIMEIRA;PA GERALDO PEREIRA DE ANDRADE (MARIA IZABEL);135;
3696.5592;3872.0000;100;MT0330000;10/12/1999;05/08/1999;;3;Desapropriação;4015;NOVA UBIRATA;PA CEDRO ROSA;100;
8275.7594;8463.0000;150;MT0073000;19/07/1995;27/12/1983;;3;Arrecadação;17959;CONFRESA;PA XAVANTE FIGURA A;105;
6856.5579;6883.0000;231;MT0339000;04/02/2000;22/10/1999;;6;Desapropriação;18094;JUSCIMEIRA;PA BELEZA;162;
3829.2964;4976.0000;145;MT0253000;10/02/2000;10/02/2000;;3;Desapropriação;4256;JUARA;PA ESCONDIDO;45;
3888.2118;3888.9404;146;MT0165000;09/05/1997;22/08/1996;;6;Desapropriação;18078;MIRASSOL D'OESTE;PA MARGARIDA ALVES;142;
