ref;nome;highway;bridge;jurisdicao;km_aprox;latitude;longitude;osm_id;fonte;observacao
MT-160;MT-160;tertiary;sim;estadual;0.27;-14.815478;-56.838738;386560619;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-244;MT-244;tertiary;sim;estadual;0.26;-14.675873;-55.699303;295538554;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-524;MT-524;tertiary;sim;estadual;0.26;-16.329805;-55.828977;286683038;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
"MT-351;MT-494";"MT-351;MT-494";secondary;nao;estadual;0.25;-14.856155;-55.798745;545571819;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
"MT-407;MT-040";"MT-407;MT-040";trunk;nao;estadual;0.22;-15.700009;-56.042404;457411696;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
"MT-351;MT-241";"MT-351;MT-241";secondary;nao;estadual;0.21;-14.577146;-55.913421;295538618;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
"BR-163;BR-364;MT-351;MT-045";Avenida Dom Orlando Chaves;primary;nao;federal_estadual;0.18;-15.628724;-56.112043;312059299;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-447;MT-447;tertiary;sim;estadual;0.17;-14.957249;-57.221371;582624171;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-370;Rodovia Francisca Figueiredo Arruda Martins;tertiary;sim;estadual;0.16;-16.477672;-56.397202;286831408;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-60;MT-60;secondary;nao;estadual;0.11;-16.250823;-56.630620;136213152;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
"MT-343;MT-408";MT-358;primary;nao;estadual;0.1;-14.779986;-57.286954;239323534;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
"BR-251;MT-020;MT-351";"BR-251;MT-020;MT-351";primary;nao;federal_estadual;0.08;-15.429719;-56.020215;241946631;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-270;MT-270;unclassified;sim;estadual;0.06;-16.303076;-55.718727;499161100;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-401;MT-401;tertiary;sim;estadual;0.04;-15.320350;-56.176960;882686085;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
"BR-163;BR-364;MT-050;MT-060";Trevo do Zero Quilômetro;primary;nao;federal_estadual;0.03;-15.638063;-56.120781;312059311;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
BR-364;Trevo do Lagarto;trunk;nao;federal;0.03;-15.649571;-56.196038;663507877;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-140;MT-140;tertiary;sim;estadual;0.02;-17.084853;-55.765245;1029162690;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-409;MT-409;tertiary;sim;estadual;0.02;-14.670872;-56.675926;481460708;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-452;MT-452;tertiary;sim;estadual;0.02;-15.924903;-56.196901;859522525;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
MT-551;MT-551;tertiary;sim;estadual;0.02;-15.606958;-55.914191;880884902;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
"BR-070;BR-163;BR-364;MT-351";"BR-070;BR-163;BR-364;MT-351";primary;nao;federal_estadual;0.0;-15.620128;-56.120091;206290738;OSM;"Proxy DNIT/Sinfra — refs BR/MT no OSM; substituir por SNV oficial quando o portal responder"
