area_calc_ha;cd_sr;cd_uf;dt_public1;dt_publica;dt_titulac;esfera;gid;nm_comunid;nm_municip;nr_familia;nr_process;perimetro_calc_m;responsave
14757.8430;SR-13;MT;24/06/2008;10/02/2006;;FEDERAL;1026;MATA CAVALO;NOSSA SENHORA DO LIVRAMENTO;418;54240001538/2004-70;449112.3038;INCRA
1781.2312;SR-13;MT;;21/10/2010;;FEDERAL;1262;CAMPINA DE PEDRA;POCONE;45;54240005272/2005-15;249333.2598;INCRA
3575.4485;SR_13;MT;31/12/2024;22/06/2023;;FEDERAL;1414;TQ Bocaina;Porto Estrela;;54240.000396/2011-52;489391.8070;INCRA
1473.5955;SR-13;MT;;09/11/2018;;FEDERAL;1275;LARANJAL;POCONÉ;53;54240.0005236/2005-51;255176.2384;INCRA
