id_snisb;nome;municipio_sede;regiao_saude;perfil_sanitario;idap;nivel;completude;confiabilidade;pontos_a;pontos_b;pontos_c;pontos_d;alertavel;area_estimada_km2;populacao_estimada;metodo_populacao;chuva_24h_mm;chuva_72h_mm;saturacao_antecedente;nivel_alerta_hidro;aproximacao_espacial;municipios_potencialmente_afetados;arquivo_alerta;resumo;instante
26131;BARRAGEM JVR;Cuiabá;Baixada Cuiabana;rejeito;18;Amarelo;0,630;parcial;5;3;8;2;não;0,1;16;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_26131.txt;BARRAGEM JVR (Cuiabá) — IDAP 18/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 63% (parcial);2026-07-30T09:58:09-04:00
26146;Barragem TB;Cuiabá;Baixada Cuiabana;rejeito;19;Amarelo;0,650;parcial;5;4;9;1;não;0,38;59;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_26146.txt;Barragem TB (Cuiabá) — IDAP 19/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 65% (parcial);2026-07-30T09:58:09-04:00
26156;Barragem JL;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;17;Verde;0,650;parcial;5;4;7;1;não;0,0;;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_26156.txt;Barragem JL (Nossa Senhora do Livramento) — IDAP 17/100 — Verde: normalidade — completude 65% (parcial);2026-07-30T09:58:09-04:00
26171;MULTI 1;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;18;Verde;0,650;parcial;5;4;8;1;não;0,07;11;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_26171.txt;MULTI 1 (Nossa Senhora do Livramento) — IDAP 18/100 — Verde: normalidade — completude 65% (parcial);2026-07-30T09:58:09-04:00
29384;BR SANTA FELICIDADE 04;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;17;Verde;0,650;parcial;5;4;7;1;não;0,0;;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_29384.txt;BR SANTA FELICIDADE 04 (Nossa Senhora do Livramento) — IDAP 17/100 — Verde: normalidade — completude 65% (parcial);2026-07-30T09:58:09-04:00
34856;Barragem GMX;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;18;Verde;0,650;parcial;5;4;8;1;não;0,22;35;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_34856.txt;Barragem GMX (Nossa Senhora do Livramento) — IDAP 18/100 — Verde: normalidade — completude 65% (parcial);2026-07-30T09:58:09-04:00
21949;BARRAGEM ÁGUA BRANCA;Rosário Oeste;Baixada Cuiabana;rejeito;16;Verde;0,650;parcial;4;4;7;1;não;0,0;;area_x_densidade;0.1;0.2;0,1850;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Rosário Oeste | Várzea Grande;alertas/piloto/verde_21949.txt;BARRAGEM ÁGUA BRANCA (Rosário Oeste) — IDAP 16/100 — Verde: normalidade — completude 65% (parcial);2026-07-30T09:58:09-04:00
26534;Fazenda KM;Cuiabá;Baixada Cuiabana;rejeito;16;Amarelo;0,500;parcial;5;5;5;1;não;0,0;;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_26534.txt;Fazenda KM (Cuiabá) — IDAP 16/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
26538;Sitio Pirapora;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;17;Verde;0,500;parcial;5;5;6;1;não;0,17;27;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_26538.txt;Sitio Pirapora (Nossa Senhora do Livramento) — IDAP 17/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
27624;Barragem_Valdenir2;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;18;Verde;0,500;parcial;5;3;9;1;não;0,45;70;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_27624.txt;Barragem_Valdenir2 (Nossa Senhora do Livramento) — IDAP 18/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
